street,city,state,zip,restaurant,street_uber,,
599 broadway, chula vista, ca,91910,Burger King,599 Broadway,,
97 bonita road, chula vista, ca,91910,Burger King,97 Bonita Road,,
1265 third avenue, chula vista, ca,91911,Burger King,1265 Third Avenue,,
899 east h street, chula vista, ca,91910,Burger King,97 Bonita Road,,
1180 palm ave, imperial beach, ca,91932,Burger King,1180 Palm Ave,,
3746 mission avenue, oceanside, ca,92058,Burger King,3746 Mission Avenue,,
3405 marron rd, oceanside, ca,92056,Burger King,3405 Marron Rd,,
377, vista, ca,92083,Burger King,377 Vista Village Drive,,
728 west, san marcos, ca,92078,Burger King,728 West San Marcos Boulevard,,
244 west mission avenue, escondido, ca,92025,Burger King,244 West Mission Avenue,,
819 van ness avenue, san francisco, ca,94109,Burger King,819 Van Ness Avenue,,
35 powell street, san francisco, ca,94102,Burger King,35 Powell Street,,
1701 fillmore st, san francisco, ca,94115,Burger King,1701 Fillmore St,,
3900 geary boulevard, san francisco, ca,94118,Burger King,3900 Geary Boulevard,,
1690 valencia street, san francisco, ca,94110,Burger King,1690 Valencia Street,,
245 bayshore blvd., san francisco, ca,94124,Burger King,245 Bayshore Blvd.,,
702 north wilson way, stockton, ca,95205,Burger King,702 North Wilson Way,,
619 west charter way, stockton, ca,95206,Burger King,619 West Charter Way,,
1502 east march lane, stockton, ca,95210,Burger King,1502 East March Lane,,
4608 east waterloo road, stockton, ca,95215,Burger King,4608 East Waterloo Road,,
1358 madonna road, san luis obispo, ca,93405,Burger King,1358 Madonna Road,,
1773 w grand ave, grover beach, ca,93433,Burger King,1773 Grand Avenue,,
781 quintana road, morro bay, ca,93442,Burger King,781 Quintana Road,,
8304 el camino real, atascadero, ca,93422,Burger King,180 Niblick Rd,,
180 niblick rd, paso robles, ca,93446,Burger King,180 Niblick Rd,,
2817 south el camino real, san mateo, ca,94403,Burger King,2817 South El Camino Real,,
575 el camino real, redwood city, ca,94063,Burger King,575 El Camino Real,,
2102 middlefield road, redwood city, ca,94063,Burger King,2102 Middlefield Road,,
1278 el camino real, san bruno, ca,94066,Burger King,1278 El Camino Real,,
30 north cabrillo highway, half moon bay, ca,94019,Burger King,30 North Cabrillo Highway,,
111, colma, ca,94014,Burger King,111 Colma Boulevard,,
898 john daly boulevard, daly city, ca,94015,Burger King,898 John Daly Boulevard,,
120 south nicholson avenue, santa maria, ca,93454,Burger King,120 S Nicholson Ave,,
1864 north broadway, santa maria, ca,93454,Burger King,1864 North Broadway,,
2050 south broadway, santa maria, ca,93454,Burger King,2050 South Broadway,,
1153 north h street, lompoc, ca,93436,Burger King,1153 North H Street,,
21 west main street, ventura, ca,93001,Burger King,21 West Main Street,,
