menu_item,menu_item_price,menu_item_calories,input_address,restaurant_address
Triple Whopper,$10.19,"1,170 cal","205 East Redlands, San Bernardino, CA, 92408, US",205 East Redlands
Bacon King,$9.29,"1,200 cal","205 East Redlands, San Bernardino, CA, 92408, US",205 East Redlands
BBQ Bacon Whopper Jr.,$4.79,390 cal,"205 East Redlands, San Bernardino, CA, 92408, US",205 East Redlands
Whopper Jr.,$4.19,330 cal,"205 East Redlands, San Bernardino, CA, 92408, US",205 East Redlands
Bacon Double Cheeseburger,$4.39,440 cal,"205 East Redlands, San Bernardino, CA, 92408, US",205 East Redlands
Bacon Cheeseburger,$2.99,340 cal,"205 East Redlands, San Bernardino, CA, 92408, US",205 East Redlands
Double Cheeseburger,$3.49,400 cal,"205 East Redlands, San Bernardino, CA, 92408, US",205 East Redlands
Cheeseburger,$2.69,290 cal,"205 East Redlands, San Bernardino, CA, 92408, US",205 East Redlands
Rodeo Burger,$2.69,340 cal,"205 East Redlands, San Bernardino, CA, 92408, US",205 East Redlands
Hamburger,$1.89,250 cal,"205 East Redlands, San Bernardino, CA, 92408, US",205 East Redlands
Have-sies™,$3.79,380 cal,"205 East Redlands, San Bernardino, CA, 92408, US",205 East Redlands
French Fries,$3.79,370 cal,"205 East Redlands, San Bernardino, CA, 92408, US",205 East Redlands
Onion Rings,$3.79,360 cal,"205 East Redlands, San Bernardino, CA, 92408, US",205 East Redlands
12 Pc. Chicken Fries,$5.39,340 cal,"205 East Redlands, San Bernardino, CA, 92408, US",205 East Redlands
8 Pc. Chicken Fries,$4.89,220 cal,"205 East Redlands, San Bernardino, CA, 92408, US",205 East Redlands
12 Pc. Mozzarella Fries,$5.39,730 cal,"205 East Redlands, San Bernardino, CA, 92408, US",205 East Redlands
8 Pc. Mozzarella Fries,$4.89,480 cal,"205 East Redlands, San Bernardino, CA, 92408, US",205 East Redlands
4 Pc. Mozzarella Fries,$2.49,240 cal,"205 East Redlands, San Bernardino, CA, 92408, US",205 East Redlands
8 Pc. Fiery Buffalo Nuggets,$3.49,510 cal,"205 East Redlands, San Bernardino, CA, 92408, US",205 East Redlands
4 Pc. Chicken Fries,$2.49,110 cal,"205 East Redlands, San Bernardino, CA, 92408, US",205 East Redlands
16 Pc. Chicken Nuggets,$4.98,770 cal,"205 East Redlands, San Bernardino, CA, 92408, US",205 East Redlands
8 Pc. Chicken Nuggets,$2.89,390 cal,"205 East Redlands, San Bernardino, CA, 92408, US",205 East Redlands
4 Pc. Chicken Nuggets,$1.49,190 cal,"205 East Redlands, San Bernardino, CA, 92408, US",205 East Redlands
MOTTS Applesauce,$2.29,50 cal,"205 East Redlands, San Bernardino, CA, 92408, US",205 East Redlands
Crispy Tacos,$2.09,170 cal,"205 East Redlands, San Bernardino, CA, 92408, US",205 East Redlands
Classic Melt,$5.49,600 cal,"127 West 4th Street, Long Beach, CA, 90802, US",127 West 4th Street
Bacon Melt,$5.99,650 cal,"127 West 4th Street, Long Beach, CA, 90802, US",127 West 4th Street
Philly Melt,$5.99,590 cal,"127 West 4th Street, Long Beach, CA, 90802, US",127 West 4th Street
Whopper,$7.99,670 cal,"127 West 4th Street, Long Beach, CA, 90802, US",127 West 4th Street
Impossible™ Whopper,$8.49,630 cal,"127 West 4th Street, Long Beach, CA, 90802, US",127 West 4th Street
Texas Double Whopper,$10.29,"1,090 cal","127 West 4th Street, Long Beach, CA, 90802, US",127 West 4th Street
Double Whopper,$9.19,920 cal,"127 West 4th Street, Long Beach, CA, 90802, US",127 West 4th Street
Triple Whopper,$10.19,"1,170 cal","127 West 4th Street, Long Beach, CA, 90802, US",127 West 4th Street
Bacon King,$9.29,"1,200 cal","127 West 4th Street, Long Beach, CA, 90802, US",127 West 4th Street
BBQ Bacon Whopper Jr.,$4.79,390 cal,"127 West 4th Street, Long Beach, CA, 90802, US",127 West 4th Street
Whopper Jr.,$4.49,330 cal,"127 West 4th Street, Long Beach, CA, 90802, US",127 West 4th Street
Bacon Double Cheeseburger,$4.39,440 cal,"127 West 4th Street, Long Beach, CA, 90802, US",127 West 4th Street
Bacon Cheeseburger,$3.19,340 cal,"127 West 4th Street, Long Beach, CA, 90802, US",127 West 4th Street
Double Cheeseburger,$3.49,400 cal,"127 West 4th Street, Long Beach, CA, 90802, US",127 West 4th Street
Cheeseburger,$2.59,290 cal,"127 West 4th Street, Long Beach, CA, 90802, US",127 West 4th Street
Rodeo Burger,$2.69,340 cal,"127 West 4th Street, Long Beach, CA, 90802, US",127 West 4th Street
Hamburger,$1.89,250 cal,"127 West 4th Street, Long Beach, CA, 90802, US",127 West 4th Street
Have-sies™,$3.79,380 cal,"127 West 4th Street, Long Beach, CA, 90802, US",127 West 4th Street
French Fries,$3.89,370 cal,"127 West 4th Street, Long Beach, CA, 90802, US",127 West 4th Street
Onion Rings,$3.89,360 cal,"127 West 4th Street, Long Beach, CA, 90802, US",127 West 4th Street
12 Pc. Chicken Fries,$5.39,340 cal,"127 West 4th Street, Long Beach, CA, 90802, US",127 West 4th Street
8 Pc. Chicken Fries,$4.89,220 cal,"127 West 4th Street, Long Beach, CA, 90802, US",127 West 4th Street
12 Pc. Mozzarella Fries,$5.39,730 cal,"127 West 4th Street, Long Beach, CA, 90802, US",127 West 4th Street
8 Pc. Mozzarella Fries,$4.89,480 cal,"127 West 4th Street, Long Beach, CA, 90802, US",127 West 4th Street
4 Pc. Mozzarella Fries,$2.49,240 cal,"127 West 4th Street, Long Beach, CA, 90802, US",127 West 4th Street
8 Pc. Fiery Buffalo Nuggets,$3.49,510 cal,"127 West 4th Street, Long Beach, CA, 90802, US",127 West 4th Street
4 Pc. Chicken Fries,$2.49,110 cal,"127 West 4th Street, Long Beach, CA, 90802, US",127 West 4th Street
16 Pc. Chicken Nuggets,$4.98,770 cal,"127 West 4th Street, Long Beach, CA, 90802, US",127 West 4th Street
8 Pc. Chicken Nuggets,$2.99,390 cal,"127 West 4th Street, Long Beach, CA, 90802, US",127 West 4th Street
4 Pc. Chicken Nuggets,$1.49,190 cal,"127 West 4th Street, Long Beach, CA, 90802, US",127 West 4th Street
MOTTS Applesauce,$2.29,50 cal,"127 West 4th Street, Long Beach, CA, 90802, US",127 West 4th Street
Crispy Tacos,$2.09,170 cal,"127 West 4th Street, Long Beach, CA, 90802, US",127 West 4th Street
