menu_item,menu_item_price,menu_item_calories,input_address,restaurant_address
Classic Melt,$4.99,600 cal,"5120 Olive Drive, Bakersfield, CA, 93308, US",5120 Olive Drive
Bacon Melt,$5.49,650 cal,"5120 Olive Drive, Bakersfield, CA, 93308, US",5120 Olive Drive
Philly Melt,$5.49,590 cal,"5120 Olive Drive, Bakersfield, CA, 93308, US",5120 Olive Drive
Whopper,$6.59,670 cal,"5120 Olive Drive, Bakersfield, CA, 93308, US",5120 Olive Drive
Impossible™ Whopper,$7.49,630 cal,"5120 Olive Drive, Bakersfield, CA, 93308, US",5120 Olive Drive
Texas Double Whopper,$8.79,"1,090 cal","5120 Olive Drive, Bakersfield, CA, 93308, US",5120 Olive Drive
Double Whopper,$7.89,920 cal,"5120 Olive Drive, Bakersfield, CA, 93308, US",5120 Olive Drive
Triple Whopper,$8.89,"1,170 cal","5120 Olive Drive, Bakersfield, CA, 93308, US",5120 Olive Drive
Bacon King,$8.49,"1,200 cal","5120 Olive Drive, Bakersfield, CA, 93308, US",5120 Olive Drive
BBQ Bacon Whopper Jr.,$4.99,390 cal,"5120 Olive Drive, Bakersfield, CA, 93308, US",5120 Olive Drive
Whopper Jr.,$3.59,330 cal,"5120 Olive Drive, Bakersfield, CA, 93308, US",5120 Olive Drive
Bacon Double Cheeseburger,$4.09,440 cal,"5120 Olive Drive, Bakersfield, CA, 93308, US",5120 Olive Drive
Bacon Cheeseburger,$3.29,340 cal,"5120 Olive Drive, Bakersfield, CA, 93308, US",5120 Olive Drive
Double Cheeseburger,$3.29,400 cal,"5120 Olive Drive, Bakersfield, CA, 93308, US",5120 Olive Drive
Cheeseburger,$2.39,290 cal,"5120 Olive Drive, Bakersfield, CA, 93308, US",5120 Olive Drive
Rodeo Burger,$2.19,340 cal,"5120 Olive Drive, Bakersfield, CA, 93308, US",5120 Olive Drive
Hamburger,$1.99,250 cal,"5120 Olive Drive, Bakersfield, CA, 93308, US",5120 Olive Drive
Have-sies™,$2.99,380 cal,"5120 Olive Drive, Bakersfield, CA, 93308, US",5120 Olive Drive
French Fries,$3.59,370 cal,"5120 Olive Drive, Bakersfield, CA, 93308, US",5120 Olive Drive
Onion Rings,$3.59,360 cal,"5120 Olive Drive, Bakersfield, CA, 93308, US",5120 Olive Drive
12 Pc. Chicken Fries,$5.09,340 cal,"5120 Olive Drive, Bakersfield, CA, 93308, US",5120 Olive Drive
8 Pc. Chicken Fries,$4.09,220 cal,"5120 Olive Drive, Bakersfield, CA, 93308, US",5120 Olive Drive
12 Pc. Mozzarella Fries,$4.99,730 cal,"5120 Olive Drive, Bakersfield, CA, 93308, US",5120 Olive Drive
8 Pc. Mozzarella Fries,$3.79,480 cal,"5120 Olive Drive, Bakersfield, CA, 93308, US",5120 Olive Drive
4 Pc. Mozzarella Fries,$1.99,240 cal,"5120 Olive Drive, Bakersfield, CA, 93308, US",5120 Olive Drive
8 Pc. Fiery Buffalo Nuggets,$2.99,510 cal,"5120 Olive Drive, Bakersfield, CA, 93308, US",5120 Olive Drive
4 Pc. Chicken Fries,$2.09,110 cal,"5120 Olive Drive, Bakersfield, CA, 93308, US",5120 Olive Drive
16 Pc. Chicken Nuggets,$3.49,770 cal,"5120 Olive Drive, Bakersfield, CA, 93308, US",5120 Olive Drive
8 Pc. Chicken Nuggets,$2.69,390 cal,"5120 Olive Drive, Bakersfield, CA, 93308, US",5120 Olive Drive
4 Pc. Chicken Nuggets,$1.59,190 cal,"5120 Olive Drive, Bakersfield, CA, 93308, US",5120 Olive Drive
MOTTS Applesauce,$1.69,50 cal,"5120 Olive Drive, Bakersfield, CA, 93308, US",5120 Olive Drive
Crispy Tacos,$0.99,170 cal,"5120 Olive Drive, Bakersfield, CA, 93308, US",5120 Olive Drive
Classic Melt,$5.49,600 cal,"205 East Redlands, San Bernardino, CA, 92408, US",205 East Redlands
Bacon Melt,$5.99,650 cal,"205 East Redlands, San Bernardino, CA, 92408, US",205 East Redlands
Philly Melt,$5.99,590 cal,"205 East Redlands, San Bernardino, CA, 92408, US",205 East Redlands
Whopper,$7.99,670 cal,"205 East Redlands, San Bernardino, CA, 92408, US",205 East Redlands
Impossible™ Whopper,$8.49,630 cal,"205 East Redlands, San Bernardino, CA, 92408, US",205 East Redlands
Texas Double Whopper,$10.29,"1,090 cal","205 East Redlands, San Bernardino, CA, 92408, US",205 East Redlands
Double Whopper,$9.19,920 cal,"205 East Redlands, San Bernardino, CA, 92408, US",205 East Redlands
