,restaurant_name,restaurant_location,specialty_item,cheeseburger,hamburger,combo,fries,state,zip,county_name
520,Wendy,"210 patton street, houston, tx, 77009, us",7.67,3.65,3.04,,,tx,77009,Harris
521,Wendy,"2007 durham, houston, tx, 77007, us",6.94,3.04,2.67,,,tx,77007,Harris
522,Wendy,"3415 navigation blvd, houston, tx, 77003, us",,,,,,tx,77003,Harris
523,Wendy,"5850 gulf fwy, houston, tx, 77023, us",,,,,,tx,77023,Harris
524,Wendy,"94 e. crosstimbers st, houston, tx, 77022, us",,,,,,tx,77022,Harris
525,Wendy,"2901 airline dr, houston, tx, 77009, us",,,,,,tx,77009,Harris
526,Wendy,"1750 west main, league city, tx, 77573, us",6.94,3.04,2.67,,,tx,77573,Galveston
527,Wendy,"2535 e., league city, tx, 77573, us",7.19,3.04,2.55,,,tx,77573,Galveston
528,Wendy,"2212 e main st, league city, tx, 77573, us",,,,,2.89,tx,77573,Galveston
529,Wendy,"1503 w, league city, tx, 77573, us",,,,,,tx,77573,Galveston
530,Wendy,"2940 gulf freeway, league city, tx, 77573, us",,5.18,,,,tx,77573,Galveston
531,Wendy,"1400 nasa rd. 1, nassau bay, tx, 77058, us",,,,,,tx,77058,Harris
532,Wendy,"301 w. southmore ave, pasadena, tx, 77502, us",6.94,3.04,2.67,,,tx,77502,Harris
533,Wendy,"1108 east jackson avenue, mcallen, tx, 78503, us",7.06,2.31,1.94,,,tx,78503,Hidalgo
534,Wendy,"2507 e expressway 83, mission, tx, 78572, us",7.06,2.31,1.94,,,tx,78572,Hidalgo
535,Wendy,"1419 s 10th street, mcallen, tx, 78501, us",,,,,2.89,tx,78501,Hidalgo
536,Wendy,"1901 s 10th st, mcallen, tx, 78503, us",,,,,,tx,78503,Hidalgo
537,Wendy,"1700 s 10th street 105, mcallen, tx, 78503, us",,,,,,tx,78503,Hidalgo
538,Wendy,"2825 west nolana avenue, suite 10, mcallen, tx, 78504, us",,,,,,tx,78504,Hidalgo
539,Wendy,"735 s. 11th street, beaumont, tx, 77701, us",6.94,3.04,2.67,,,tx,77701,Jefferson
540,Wendy,"70 s aspen ave, new deal, tx, 79350, us",7.8,2.79,2.43,,,tx,79350,Lubbock
541,Wendy,"212 university ave, lubbock, tx, 79415, us",6.58,3.28,2.79,,,tx,79415,Lubbock
542,Wendy,"1702 19th st, lubbock, tx, 79401, us",,,,,3.25,tx,79401,Lubbock
543,Wendy,"1109 university ave, lubbock, tx, 79401, us",,,,,,tx,79401,Lubbock
544,Wendy,"1627 university ave, lubbock, tx, 79401, us",,8.11,,,4.11,tx,79401,Lubbock
545,Wendy,"2414 mac davis lane, lubbock, tx, 79401, us",,,,,,tx,79401,Lubbock
546,Wendy,"4105 ayers, corpus christi, tx, 78415, us",6.45,1.94,1.57,,,tx,78415,Nueces
547,Wendy,"4123 south staples, corpus christi, tx, 78411, us",6.45,1.94,1.57,,,tx,78411,Nueces
548,Wendy,"3155 s padre island dr, corpus christi, tx, 78415, us",,,,,,tx,78415,Nueces
549,Wendy,"409 west abram, arlington, tx, 76010, us",6.33,2.67,2.31,,,tx,76010,Tarrant
550,Wendy,"1311 north collins, arlington, tx, 76011, us",6.33,2.67,2.31,,,tx,76011,Tarrant
551,Wendy,"2214 n collins st, arlington, tx, 76011, us",,,,,3.01,tx,76011,Tarrant
552,Wendy,"700 w division st, arlington, tx, 76012, us",,,,,,tx,76012,Tarrant
553,Wendy,"2815 ne green oaks blvd, grand prairie, tx, 75050, us",,,,,,tx,75050,Dallas
554,Wendy,"2200 airport fwy ste 500-a, bedford, tx, 76022, us",,,,,,tx,76022,Tarrant
555,Wendy,"619 n ih 35, austin, tx, 78702, us",,,,,,tx,78702,Travis
556,Wendy,"4115 s. congress, austin, tx, 78745, us",,,,,,tx,78745,Travis
557,Wendy,"6210 east ben white, austin, tx, 78741, us",,,,,,tx,78741,Travis
558,Wendy,"607 louis henna blvd, round rock, tx, 78664, us",,,,,,tx,78664,Williamson
559,Wendy,"1910 west braker lane, austin, tx, 78758, us",,,,,,tx,78758,Travis
560,Wendy,"17560 rr -620, round rock, tx, 78681, us",6.94,3.16,2.79,,,tx,78681,Williamson
561,Wendy,"1105 n 400 west, layton, ut, 84041, us",6.94,2.67,2.31,,,ut,84041,Davis
562,Wendy,"353 west 200 north, kaysville, ut, 84037, us",6.7,2.79,2.31,,,ut,84037,Davis
563,Wendy,"1726 bluff ridge drive, syracuse, ut, 84075, us",,,,,,ut,84075,Davis
564,Wendy,"2011 north hillfield road, layton, ut, 84041, us",,,,,,ut,84041,Davis
565,Wendy,"737 n. main street, layton, ut, 84041, us",,,,,,ut,84041,Davis
566,Wendy,"562 east 400 south, salt lake city, ut, 84102, us",5.49,2.09,1.89,,,ut,84102,Salt Lake
567,Wendy,"1066 s. university ave., provo, ut, 84601, us",6.58,2.67,2.18,,,ut,84601,Utah
568,Wendy,"1100 radisson street, green bay, wi, 54302, us",7.31,2.67,2.43,,,wi,54302,Brown
569,Wendy,"901 hansen road, ashwaubenon, wi, 54304, us",7.31,2.67,2.43,,,wi,54304,Brown
570,Wendy,"2421 s. stoughton, madison, wi, 53718, us",,,,,,wi,53718,Dane
