menu_item,menu_item_price,menu_item_calories,restaurant_address
Big Bacon Classic®,6.59,650,"3957 Cottage Hill Road, Mobile, AL, 36693, US"
Big Bacon Classic® Double,7.79,920,"3957 Cottage Hill Road, Mobile, AL, 36693, US"
Big Bacon Classic Triple,8.99,"1,220","3957 Cottage Hill Road, Mobile, AL, 36693, US"
Bacon Double Stack,4.19,440,"3957 Cottage Hill Road, Mobile, AL, 36693, US"
Jr. Bacon Cheeseburger,3.59,370,"3957 Cottage Hill Road, Mobile, AL, 36693, US"
Jr. Cheeseburger Deluxe,2.59,340,"3957 Cottage Hill Road, Mobile, AL, 36693, US"
Jr. Cheeseburger Deluxe,2.59,350,"3957 Cottage Hill Road, Mobile, AL, 36693, US"
Jr. Cheeseburger,2.39,290,"3957 Cottage Hill Road, Mobile, AL, 36693, US"
Double Stack™,3.59,410,"3957 Cottage Hill Road, Mobile, AL, 36693, US"
Jr. Hamburger,2.19,250,"3957 Cottage Hill Road, Mobile, AL, 36693, US"
French Fries,1.19-3.39,210-470,"3957 Cottage Hill Road, Mobile, AL, 36693, US"
Baconator Fries,3.59,460,"3957 Cottage Hill Road, Mobile, AL, 36693, US"
Chili Cheese Fries,3.59,520,"3957 Cottage Hill Road, Mobile, AL, 36693, US"
Cheese Fries,3.29,470,"3957 Cottage Hill Road, Mobile, AL, 36693, US"
Chili,2.79/3.59,240/340,"3957 Cottage Hill Road, Mobile, AL, 36693, US"
Sour Cream and Chive Baked Potato,2.69,310,"3957 Cottage Hill Road, Mobile, AL, 36693, US"
Plain Baked Potato,2.49,270,"3957 Cottage Hill Road, Mobile, AL, 36693, US"
Bacon Cheese Baked Potato,3.99,440,"3957 Cottage Hill Road, Mobile, AL, 36693, US"
Chili & Cheese Baked Potato,3.99,500,"3957 Cottage Hill Road, Mobile, AL, 36693, US"
Cheese Baked Potato,3.49,450,"3957 Cottage Hill Road, Mobile, AL, 36693, US"
Apple Bites,0.99,35,"3957 Cottage Hill Road, Mobile, AL, 36693, US"
6 PC. Crispy Chicken Nuggets,3.19,270,"3957 Cottage Hill Road, Mobile, AL, 36693, US"
4 PC. Crispy Chicken Nuggets,2.39,180,"3957 Cottage Hill Road, Mobile, AL, 36693, US"
6 PC. Spicy Chicken Nuggets,3.19,280,"3957 Cottage Hill Road, Mobile, AL, 36693, US"
4 PC. Spicy Chicken Nuggets,2.39,190,"3957 Cottage Hill Road, Mobile, AL, 36693, US"
Pretzel Baconator®,8.99,"1,050","2727 Highway 280, Birmingham, AL, 35223, US"
Dave's Single®,6.29,590,"2727 Highway 280, Birmingham, AL, 35223, US"
