menu_item,menu_item_price,menu_item_calories,input_address,restaurant_address
Classic Melt,$4.99,600 cal,"1901 Route 286, Pittsburgh, PA, 15239, US",1737 Golden Mile Hwy
Bacon Melt,$5.59,650 cal,"1901 Route 286, Pittsburgh, PA, 15239, US",1737 Golden Mile Hwy
Philly Melt,$5.49,590 cal,"1901 Route 286, Pittsburgh, PA, 15239, US",1737 Golden Mile Hwy
Whopper,$5.79,670 cal,"1901 Route 286, Pittsburgh, PA, 15239, US",1737 Golden Mile Hwy
Impossible™ Whopper,$6.79,630 cal,"1901 Route 286, Pittsburgh, PA, 15239, US",1737 Golden Mile Hwy
Double Whopper,$6.99,920 cal,"1901 Route 286, Pittsburgh, PA, 15239, US",1737 Golden Mile Hwy
Triple Whopper,$8.19,"1,170 cal","1901 Route 286, Pittsburgh, PA, 15239, US",1737 Golden Mile Hwy
Bacon King,$8.59,"1,200 cal","1901 Route 286, Pittsburgh, PA, 15239, US",1737 Golden Mile Hwy
BBQ Bacon Whopper Jr.,$3.99,390 cal,"1901 Route 286, Pittsburgh, PA, 15239, US",1737 Golden Mile Hwy
Whopper Jr.,$3.39,330 cal,"1901 Route 286, Pittsburgh, PA, 15239, US",1737 Golden Mile Hwy
Bacon Double Cheeseburger,$3.89,440 cal,"1901 Route 286, Pittsburgh, PA, 15239, US",1737 Golden Mile Hwy
Bacon Cheeseburger,$2.69,340 cal,"1901 Route 286, Pittsburgh, PA, 15239, US",1737 Golden Mile Hwy
Double Cheeseburger,$3.29,400 cal,"1901 Route 286, Pittsburgh, PA, 15239, US",1737 Golden Mile Hwy
Cheeseburger,$2.19,290 cal,"1901 Route 286, Pittsburgh, PA, 15239, US",1737 Golden Mile Hwy
Rodeo Burger,$1.99,340 cal,"1901 Route 286, Pittsburgh, PA, 15239, US",1737 Golden Mile Hwy
Hamburger,$1.99,250 cal,"1901 Route 286, Pittsburgh, PA, 15239, US",1737 Golden Mile Hwy
Have-sies™,$3.29,380 cal,"1901 Route 286, Pittsburgh, PA, 15239, US",1737 Golden Mile Hwy
French Fries,$3.29,370 cal,"1901 Route 286, Pittsburgh, PA, 15239, US",1737 Golden Mile Hwy
Onion Rings,$3.29,360 cal,"1901 Route 286, Pittsburgh, PA, 15239, US",1737 Golden Mile Hwy
12 Pc. Chicken Fries,$5.09,340 cal,"1901 Route 286, Pittsburgh, PA, 15239, US",1737 Golden Mile Hwy
8 Pc. Chicken Fries,$3.69,220 cal,"1901 Route 286, Pittsburgh, PA, 15239, US",1737 Golden Mile Hwy
12 Pc. Mozzarella Fries,$4.99,730 cal,"1901 Route 286, Pittsburgh, PA, 15239, US",1737 Golden Mile Hwy
8 Pc. Mozzarella Fries,$3.89,480 cal,"1901 Route 286, Pittsburgh, PA, 15239, US",1737 Golden Mile Hwy
4 Pc. Mozzarella Fries,$1.99,240 cal,"1901 Route 286, Pittsburgh, PA, 15239, US",1737 Golden Mile Hwy
8 Pc. Fiery Buffalo Nuggets,$2.99,510 cal,"1901 Route 286, Pittsburgh, PA, 15239, US",1737 Golden Mile Hwy
4 Pc. Chicken Fries,$2.09,110 cal,"1901 Route 286, Pittsburgh, PA, 15239, US",1737 Golden Mile Hwy
16 Pc. Chicken Nuggets,$4.59,770 cal,"1901 Route 286, Pittsburgh, PA, 15239, US",1737 Golden Mile Hwy
8 Pc. Chicken Nuggets,$2.49,390 cal,"1901 Route 286, Pittsburgh, PA, 15239, US",1737 Golden Mile Hwy
4 Pc. Chicken Nuggets,$1.59,190 cal,"1901 Route 286, Pittsburgh, PA, 15239, US",1737 Golden Mile Hwy
MOTTS Applesauce,$2.09,50 cal,"1901 Route 286, Pittsburgh, PA, 15239, US",1737 Golden Mile Hwy
Classic Melt,$4.99,600 cal,"451 W. New Circle Road, Lexington, KY, 40511, US",451 W. New Circle Road
Bacon Melt,$5.49,650 cal,"451 W. New Circle Road, Lexington, KY, 40511, US",451 W. New Circle Road
Philly Melt,$5.49,590 cal,"451 W. New Circle Road, Lexington, KY, 40511, US",451 W. New Circle Road
Whopper,$5.19,670 cal,"451 W. New Circle Road, Lexington, KY, 40511, US",451 W. New Circle Road
Impossible™ Whopper,$6.09,630 cal,"451 W. New Circle Road, Lexington, KY, 40511, US",451 W. New Circle Road
Double Whopper,$6.99,920 cal,"451 W. New Circle Road, Lexington, KY, 40511, US",451 W. New Circle Road
Triple Whopper,$8.99,"1,170 cal","451 W. New Circle Road, Lexington, KY, 40511, US",451 W. New Circle Road
Bacon King,$7.99,"1,200 cal","451 W. New Circle Road, Lexington, KY, 40511, US",451 W. New Circle Road
BBQ Bacon Whopper Jr.,$3.39,390 cal,"451 W. New Circle Road, Lexington, KY, 40511, US",451 W. New Circle Road
Whopper Jr.,$2.79,330 cal,"451 W. New Circle Road, Lexington, KY, 40511, US",451 W. New Circle Road
Bacon Double Cheeseburger,$3.69,440 cal,"451 W. New Circle Road, Lexington, KY, 40511, US",451 W. New Circle Road
Bacon Cheeseburger,$2.79,340 cal,"451 W. New Circle Road, Lexington, KY, 40511, US",451 W. New Circle Road
Double Cheeseburger,$3.19,400 cal,"451 W. New Circle Road, Lexington, KY, 40511, US",451 W. New Circle Road
Cheeseburger,$1.99,290 cal,"451 W. New Circle Road, Lexington, KY, 40511, US",451 W. New Circle Road
Rodeo Burger,$1.99,340 cal,"451 W. New Circle Road, Lexington, KY, 40511, US",451 W. New Circle Road
Hamburger,$1.69,250 cal,"451 W. New Circle Road, Lexington, KY, 40511, US",451 W. New Circle Road
Have-sies™,$2.99,380 cal,"451 W. New Circle Road, Lexington, KY, 40511, US",451 W. New Circle Road
French Fries,$2.99,370 cal,"451 W. New Circle Road, Lexington, KY, 40511, US",451 W. New Circle Road
Onion Rings,$2.99,360 cal,"451 W. New Circle Road, Lexington, KY, 40511, US",451 W. New Circle Road
12 Pc. Chicken Fries,$4.99,340 cal,"451 W. New Circle Road, Lexington, KY, 40511, US",451 W. New Circle Road
8 Pc. Chicken Fries,$3.79,220 cal,"451 W. New Circle Road, Lexington, KY, 40511, US",451 W. New Circle Road
12 Pc. Mozzarella Fries,$4.99,730 cal,"451 W. New Circle Road, Lexington, KY, 40511, US",451 W. New Circle Road
8 Pc. Mozzarella Fries,$3.79,480 cal,"451 W. New Circle Road, Lexington, KY, 40511, US",451 W. New Circle Road
4 Pc. Mozzarella Fries,$1.99,240 cal,"451 W. New Circle Road, Lexington, KY, 40511, US",451 W. New Circle Road
8 Pc. Fiery Buffalo Nuggets,$2.99,510 cal,"451 W. New Circle Road, Lexington, KY, 40511, US",451 W. New Circle Road
4 Pc. Chicken Fries,$1.99,110 cal,"451 W. New Circle Road, Lexington, KY, 40511, US",451 W. New Circle Road
16 Pc. Chicken Nuggets,$4.99,770 cal,"451 W. New Circle Road, Lexington, KY, 40511, US",451 W. New Circle Road
8 Pc. Chicken Nuggets,$2.49,390 cal,"451 W. New Circle Road, Lexington, KY, 40511, US",451 W. New Circle Road
4 Pc. Chicken Nuggets,$1.79,190 cal,"451 W. New Circle Road, Lexington, KY, 40511, US",451 W. New Circle Road
MOTTS Applesauce,$1.49,50 cal,"451 W. New Circle Road, Lexington, KY, 40511, US",451 W. New Circle Road
Classic Melt,$4.99,600 cal,"6337 Crawfordsville Rd, Speedway, IN, 46224, US",6337 CRAWFORDSVILLE RD
Bacon Melt,$5.49,650 cal,"6337 Crawfordsville Rd, Speedway, IN, 46224, US",6337 CRAWFORDSVILLE RD
Philly Melt,$5.49,590 cal,"6337 Crawfordsville Rd, Speedway, IN, 46224, US",6337 CRAWFORDSVILLE RD
Whopper,$5.89,670 cal,"6337 Crawfordsville Rd, Speedway, IN, 46224, US",6337 CRAWFORDSVILLE RD
Impossible™ Whopper,$7.09,630 cal,"6337 Crawfordsville Rd, Speedway, IN, 46224, US",6337 CRAWFORDSVILLE RD
Double Whopper,$6.99,920 cal,"6337 Crawfordsville Rd, Speedway, IN, 46224, US",6337 CRAWFORDSVILLE RD
Triple Whopper,$7.99,"1,170 cal","6337 Crawfordsville Rd, Speedway, IN, 46224, US",6337 CRAWFORDSVILLE RD
Bacon King,$7.79,"1,200 cal","6337 Crawfordsville Rd, Speedway, IN, 46224, US",6337 CRAWFORDSVILLE RD
BBQ Bacon Whopper Jr.,$4.69,390 cal,"6337 Crawfordsville Rd, Speedway, IN, 46224, US",6337 CRAWFORDSVILLE RD
Whopper Jr.,$4.19,330 cal,"6337 Crawfordsville Rd, Speedway, IN, 46224, US",6337 CRAWFORDSVILLE RD
Bacon Double Cheeseburger,$3.99,440 cal,"6337 Crawfordsville Rd, Speedway, IN, 46224, US",6337 CRAWFORDSVILLE RD
Bacon Cheeseburger,$2.69,340 cal,"6337 Crawfordsville Rd, Speedway, IN, 46224, US",6337 CRAWFORDSVILLE RD
Double Cheeseburger,$2.99,400 cal,"6337 Crawfordsville Rd, Speedway, IN, 46224, US",6337 CRAWFORDSVILLE RD
Cheeseburger,$1.99,290 cal,"6337 Crawfordsville Rd, Speedway, IN, 46224, US",6337 CRAWFORDSVILLE RD
Rodeo Burger,$1.99,340 cal,"6337 Crawfordsville Rd, Speedway, IN, 46224, US",6337 CRAWFORDSVILLE RD
Hamburger,$1.79,250 cal,"6337 Crawfordsville Rd, Speedway, IN, 46224, US",6337 CRAWFORDSVILLE RD
Have-sies™,$2.99,380 cal,"6337 Crawfordsville Rd, Speedway, IN, 46224, US",6337 CRAWFORDSVILLE RD
French Fries,$2.99,370 cal,"6337 Crawfordsville Rd, Speedway, IN, 46224, US",6337 CRAWFORDSVILLE RD
Onion Rings,$2.99,360 cal,"6337 Crawfordsville Rd, Speedway, IN, 46224, US",6337 CRAWFORDSVILLE RD
12 Pc. Chicken Fries,$4.99,340 cal,"6337 Crawfordsville Rd, Speedway, IN, 46224, US",6337 CRAWFORDSVILLE RD
8 Pc. Chicken Fries,$3.99,220 cal,"6337 Crawfordsville Rd, Speedway, IN, 46224, US",6337 CRAWFORDSVILLE RD
12 Pc. Mozzarella Fries,$4.99,730 cal,"6337 Crawfordsville Rd, Speedway, IN, 46224, US",6337 CRAWFORDSVILLE RD
8 Pc. Mozzarella Fries,$3.99,480 cal,"6337 Crawfordsville Rd, Speedway, IN, 46224, US",6337 CRAWFORDSVILLE RD
4 Pc. Mozzarella Fries,$2.19,240 cal,"6337 Crawfordsville Rd, Speedway, IN, 46224, US",6337 CRAWFORDSVILLE RD
4 Pc. Chicken Fries,$2.19,110 cal,"6337 Crawfordsville Rd, Speedway, IN, 46224, US",6337 CRAWFORDSVILLE RD
16 Pc. Chicken Nuggets,$4.98,770 cal,"6337 Crawfordsville Rd, Speedway, IN, 46224, US",6337 CRAWFORDSVILLE RD
8 Pc. Chicken Nuggets,$2.49,390 cal,"6337 Crawfordsville Rd, Speedway, IN, 46224, US",6337 CRAWFORDSVILLE RD
4 Pc. Chicken Nuggets,$1.39,190 cal,"6337 Crawfordsville Rd, Speedway, IN, 46224, US",6337 CRAWFORDSVILLE RD
MOTTS Applesauce,$1.49,50 cal,"6337 Crawfordsville Rd, Speedway, IN, 46224, US",6337 CRAWFORDSVILLE RD
Classic Melt,$4.99,600 cal,"1524 6th Avenue S, Birmingham, AL, 35233, US",1524 6th Ave South
Bacon Melt,$5.49,650 cal,"1524 6th Avenue S, Birmingham, AL, 35233, US",1524 6th Ave South
Philly Melt,$5.49,590 cal,"1524 6th Avenue S, Birmingham, AL, 35233, US",1524 6th Ave South
Whopper,$5.89,670 cal,"1524 6th Avenue S, Birmingham, AL, 35233, US",1524 6th Ave South
Impossible™ Whopper,$6.89,630 cal,"1524 6th Avenue S, Birmingham, AL, 35233, US",1524 6th Ave South
Texas Double Whopper,$7.69,"1,090 cal","1524 6th Avenue S, Birmingham, AL, 35233, US",1524 6th Ave South
Double Whopper,$6.99,920 cal,"1524 6th Avenue S, Birmingham, AL, 35233, US",1524 6th Ave South
Triple Whopper,$7.99,"1,170 cal","1524 6th Avenue S, Birmingham, AL, 35233, US",1524 6th Ave South
Bacon King,$7.59,"1,200 cal","1524 6th Avenue S, Birmingham, AL, 35233, US",1524 6th Ave South
BBQ Bacon Whopper Jr.,$3.49,390 cal,"1524 6th Avenue S, Birmingham, AL, 35233, US",1524 6th Ave South
Whopper Jr.,$2.99,330 cal,"1524 6th Avenue S, Birmingham, AL, 35233, US",1524 6th Ave South
Bacon Double Cheeseburger,$3.49,440 cal,"1524 6th Avenue S, Birmingham, AL, 35233, US",1524 6th Ave South
Bacon Cheeseburger,$2.69,340 cal,"1524 6th Avenue S, Birmingham, AL, 35233, US",1524 6th Ave South
Double Cheeseburger,$2.89,400 cal,"1524 6th Avenue S, Birmingham, AL, 35233, US",1524 6th Ave South
Cheeseburger,$2.29,290 cal,"1524 6th Avenue S, Birmingham, AL, 35233, US",1524 6th Ave South
Rodeo Burger,$2.19,340 cal,"1524 6th Avenue S, Birmingham, AL, 35233, US",1524 6th Ave South
Hamburger,$1.89,250 cal,"1524 6th Avenue S, Birmingham, AL, 35233, US",1524 6th Ave South
Have-sies™,$2.99,380 cal,"1524 6th Avenue S, Birmingham, AL, 35233, US",1524 6th Ave South
French Fries,$2.99,370 cal,"1524 6th Avenue S, Birmingham, AL, 35233, US",1524 6th Ave South
Onion Rings,$2.99,360 cal,"1524 6th Avenue S, Birmingham, AL, 35233, US",1524 6th Ave South
12 Pc. Chicken Fries,$4.99,340 cal,"1524 6th Avenue S, Birmingham, AL, 35233, US",1524 6th Ave South
8 Pc. Chicken Fries,$3.99,220 cal,"1524 6th Avenue S, Birmingham, AL, 35233, US",1524 6th Ave South
12 Pc. Mozzarella Fries,$4.99,730 cal,"1524 6th Avenue S, Birmingham, AL, 35233, US",1524 6th Ave South
8 Pc. Mozzarella Fries,$3.79,480 cal,"1524 6th Avenue S, Birmingham, AL, 35233, US",1524 6th Ave South
4 Pc. Mozzarella Fries,$1.99,240 cal,"1524 6th Avenue S, Birmingham, AL, 35233, US",1524 6th Ave South
8 Pc. Fiery Buffalo Nuggets,$2.99,510 cal,"1524 6th Avenue S, Birmingham, AL, 35233, US",1524 6th Ave South
4 Pc. Chicken Fries,$1.99,110 cal,"1524 6th Avenue S, Birmingham, AL, 35233, US",1524 6th Ave South
16 Pc. Chicken Nuggets,$3.99,770 cal,"1524 6th Avenue S, Birmingham, AL, 35233, US",1524 6th Ave South
8 Pc. Chicken Nuggets,$2.49,390 cal,"1524 6th Avenue S, Birmingham, AL, 35233, US",1524 6th Ave South
4 Pc. Chicken Nuggets,$1.59,190 cal,"1524 6th Avenue S, Birmingham, AL, 35233, US",1524 6th Ave South
MOTTS Applesauce,$1.59,50 cal,"1524 6th Avenue S, Birmingham, AL, 35233, US",1524 6th Ave South
Classic Melt,$4.99,600 cal,"308 Jordan Lane, Huntsville, AL, 35805, US",308 Jordan Lane
Bacon Melt,$5.69,650 cal,"308 Jordan Lane, Huntsville, AL, 35805, US",308 Jordan Lane
Philly Melt,$5.69,590 cal,"308 Jordan Lane, Huntsville, AL, 35805, US",308 Jordan Lane
Whopper,$5.89,670 cal,"308 Jordan Lane, Huntsville, AL, 35805, US",308 Jordan Lane
Impossible™ Whopper,$6.89,630 cal,"308 Jordan Lane, Huntsville, AL, 35805, US",308 Jordan Lane
Texas Double Whopper,$7.59,"1,090 cal","308 Jordan Lane, Huntsville, AL, 35805, US",308 Jordan Lane
Double Whopper,$7.19,920 cal,"308 Jordan Lane, Huntsville, AL, 35805, US",308 Jordan Lane
Triple Whopper,$8.19,"1,170 cal","308 Jordan Lane, Huntsville, AL, 35805, US",308 Jordan Lane
Bacon King,$7.59,"1,200 cal","308 Jordan Lane, Huntsville, AL, 35805, US",308 Jordan Lane
BBQ Bacon Whopper Jr.,$3.49,390 cal,"308 Jordan Lane, Huntsville, AL, 35805, US",308 Jordan Lane
Whopper Jr.,$3.09,330 cal,"308 Jordan Lane, Huntsville, AL, 35805, US",308 Jordan Lane
Bacon Double Cheeseburger,$3.39,440 cal,"308 Jordan Lane, Huntsville, AL, 35805, US",308 Jordan Lane
Bacon Cheeseburger,$2.69,340 cal,"308 Jordan Lane, Huntsville, AL, 35805, US",308 Jordan Lane
Double Cheeseburger,$2.79,400 cal,"308 Jordan Lane, Huntsville, AL, 35805, US",308 Jordan Lane
Cheeseburger,$2.29,290 cal,"308 Jordan Lane, Huntsville, AL, 35805, US",308 Jordan Lane
Rodeo Burger,$2.29,340 cal,"308 Jordan Lane, Huntsville, AL, 35805, US",308 Jordan Lane
Hamburger,$1.89,250 cal,"308 Jordan Lane, Huntsville, AL, 35805, US",308 Jordan Lane
Have-sies™,$2.99,380 cal,"308 Jordan Lane, Huntsville, AL, 35805, US",308 Jordan Lane
French Fries,$2.89,370 cal,"308 Jordan Lane, Huntsville, AL, 35805, US",308 Jordan Lane
Onion Rings,$2.89,360 cal,"308 Jordan Lane, Huntsville, AL, 35805, US",308 Jordan Lane
12 Pc. Chicken Fries,$4.99,340 cal,"308 Jordan Lane, Huntsville, AL, 35805, US",308 Jordan Lane
8 Pc. Chicken Fries,$3.99,220 cal,"308 Jordan Lane, Huntsville, AL, 35805, US",308 Jordan Lane
12 Pc. Mozzarella Fries,$5.49,730 cal,"308 Jordan Lane, Huntsville, AL, 35805, US",308 Jordan Lane
8 Pc. Mozzarella Fries,$3.99,480 cal,"308 Jordan Lane, Huntsville, AL, 35805, US",308 Jordan Lane
4 Pc. Mozzarella Fries,$1.99,240 cal,"308 Jordan Lane, Huntsville, AL, 35805, US",308 Jordan Lane
8 Pc. Fiery Buffalo Nuggets,$2.99,510 cal,"308 Jordan Lane, Huntsville, AL, 35805, US",308 Jordan Lane
4 Pc. Chicken Fries,$1.99,110 cal,"308 Jordan Lane, Huntsville, AL, 35805, US",308 Jordan Lane
16 Pc. Chicken Nuggets,$3.99,770 cal,"308 Jordan Lane, Huntsville, AL, 35805, US",308 Jordan Lane
8 Pc. Chicken Nuggets,$2.49,390 cal,"308 Jordan Lane, Huntsville, AL, 35805, US",308 Jordan Lane
4 Pc. Chicken Nuggets,$1.59,190 cal,"308 Jordan Lane, Huntsville, AL, 35805, US",308 Jordan Lane
MOTTS Applesauce,$1.49,50 cal,"308 Jordan Lane, Huntsville, AL, 35805, US",308 Jordan Lane
Classic Melt,$4.99,600 cal,"6971 West 38th Street, Indianapolis, IN, 46214, US",6971 WEST 38TH STREE
Bacon Melt,$5.49,650 cal,"6971 West 38th Street, Indianapolis, IN, 46214, US",6971 WEST 38TH STREE
Philly Melt,$5.49,590 cal,"6971 West 38th Street, Indianapolis, IN, 46214, US",6971 WEST 38TH STREE
Whopper,$5.89,670 cal,"6971 West 38th Street, Indianapolis, IN, 46214, US",6971 WEST 38TH STREE
Impossible™ Whopper,$7.09,630 cal,"6971 West 38th Street, Indianapolis, IN, 46214, US",6971 WEST 38TH STREE
Double Whopper,$6.99,920 cal,"6971 West 38th Street, Indianapolis, IN, 46214, US",6971 WEST 38TH STREE
Triple Whopper,$7.99,"1,170 cal","6971 West 38th Street, Indianapolis, IN, 46214, US",6971 WEST 38TH STREE
Bacon King,$7.79,"1,200 cal","6971 West 38th Street, Indianapolis, IN, 46214, US",6971 WEST 38TH STREE
BBQ Bacon Whopper Jr.,$4.69,390 cal,"6971 West 38th Street, Indianapolis, IN, 46214, US",6971 WEST 38TH STREE
Whopper Jr.,$4.19,330 cal,"6971 West 38th Street, Indianapolis, IN, 46214, US",6971 WEST 38TH STREE
Bacon Double Cheeseburger,$3.99,440 cal,"6971 West 38th Street, Indianapolis, IN, 46214, US",6971 WEST 38TH STREE
Bacon Cheeseburger,$2.69,340 cal,"6971 West 38th Street, Indianapolis, IN, 46214, US",6971 WEST 38TH STREE
Double Cheeseburger,$2.99,400 cal,"6971 West 38th Street, Indianapolis, IN, 46214, US",6971 WEST 38TH STREE
Cheeseburger,$1.99,290 cal,"6971 West 38th Street, Indianapolis, IN, 46214, US",6971 WEST 38TH STREE
Rodeo Burger,$1.99,340 cal,"6971 West 38th Street, Indianapolis, IN, 46214, US",6971 WEST 38TH STREE
Hamburger,$1.79,250 cal,"6971 West 38th Street, Indianapolis, IN, 46214, US",6971 WEST 38TH STREE
Have-sies™,$2.99,380 cal,"6971 West 38th Street, Indianapolis, IN, 46214, US",6971 WEST 38TH STREE
French Fries,$2.99,370 cal,"6971 West 38th Street, Indianapolis, IN, 46214, US",6971 WEST 38TH STREE
Onion Rings,$2.99,360 cal,"6971 West 38th Street, Indianapolis, IN, 46214, US",6971 WEST 38TH STREE
12 Pc. Chicken Fries,$4.99,340 cal,"6971 West 38th Street, Indianapolis, IN, 46214, US",6971 WEST 38TH STREE
8 Pc. Chicken Fries,$3.99,220 cal,"6971 West 38th Street, Indianapolis, IN, 46214, US",6971 WEST 38TH STREE
12 Pc. Mozzarella Fries,$4.99,730 cal,"6971 West 38th Street, Indianapolis, IN, 46214, US",6971 WEST 38TH STREE
8 Pc. Mozzarella Fries,$3.99,480 cal,"6971 West 38th Street, Indianapolis, IN, 46214, US",6971 WEST 38TH STREE
4 Pc. Mozzarella Fries,$2.19,240 cal,"6971 West 38th Street, Indianapolis, IN, 46214, US",6971 WEST 38TH STREE
4 Pc. Chicken Fries,$2.19,110 cal,"6971 West 38th Street, Indianapolis, IN, 46214, US",6971 WEST 38TH STREE
16 Pc. Chicken Nuggets,$4.98,770 cal,"6971 West 38th Street, Indianapolis, IN, 46214, US",6971 WEST 38TH STREE
8 Pc. Chicken Nuggets,$2.49,390 cal,"6971 West 38th Street, Indianapolis, IN, 46214, US",6971 WEST 38TH STREE
4 Pc. Chicken Nuggets,$1.39,190 cal,"6971 West 38th Street, Indianapolis, IN, 46214, US",6971 WEST 38TH STREE
MOTTS Applesauce,$1.49,50 cal,"6971 West 38th Street, Indianapolis, IN, 46214, US",6971 WEST 38TH STREE
Classic Melt,$4.99,600 cal,"2605 Jacksboro Hwy, River Oaks, TX, 76114, US",2605 Jacksboro Hwy
Bacon Melt,$4.99,650 cal,"2605 Jacksboro Hwy, River Oaks, TX, 76114, US",2605 Jacksboro Hwy
Philly Melt,$4.99,590 cal,"2605 Jacksboro Hwy, River Oaks, TX, 76114, US",2605 Jacksboro Hwy
Whopper,$6.19,670 cal,"2605 Jacksboro Hwy, River Oaks, TX, 76114, US",2605 Jacksboro Hwy
Impossible™ Whopper,$6.99,630 cal,"2605 Jacksboro Hwy, River Oaks, TX, 76114, US",2605 Jacksboro Hwy
Texas Double Whopper,$8.99,"1,090 cal","2605 Jacksboro Hwy, River Oaks, TX, 76114, US",2605 Jacksboro Hwy
Double Whopper,$8.69,920 cal,"2605 Jacksboro Hwy, River Oaks, TX, 76114, US",2605 Jacksboro Hwy
Triple Whopper,$11.19,"1,170 cal","2605 Jacksboro Hwy, River Oaks, TX, 76114, US",2605 Jacksboro Hwy
Bacon King,$8.99,"1,200 cal","2605 Jacksboro Hwy, River Oaks, TX, 76114, US",2605 Jacksboro Hwy
BBQ Bacon Whopper Jr.,$3.89,390 cal,"2605 Jacksboro Hwy, River Oaks, TX, 76114, US",2605 Jacksboro Hwy
Whopper Jr.,$2.99,330 cal,"2605 Jacksboro Hwy, River Oaks, TX, 76114, US",2605 Jacksboro Hwy
Bacon Double Cheeseburger,$3.79,440 cal,"2605 Jacksboro Hwy, River Oaks, TX, 76114, US",2605 Jacksboro Hwy
Bacon Cheeseburger,$2.49,340 cal,"2605 Jacksboro Hwy, River Oaks, TX, 76114, US",2605 Jacksboro Hwy
Double Cheeseburger,$2.99,400 cal,"2605 Jacksboro Hwy, River Oaks, TX, 76114, US",2605 Jacksboro Hwy
Cheeseburger,$1.89,290 cal,"2605 Jacksboro Hwy, River Oaks, TX, 76114, US",2605 Jacksboro Hwy
Rodeo Burger,$1.99,340 cal,"2605 Jacksboro Hwy, River Oaks, TX, 76114, US",2605 Jacksboro Hwy
Hamburger,$1.69,250 cal,"2605 Jacksboro Hwy, River Oaks, TX, 76114, US",2605 Jacksboro Hwy
Have-sies™,$2.79,380 cal,"2605 Jacksboro Hwy, River Oaks, TX, 76114, US",2605 Jacksboro Hwy
French Fries,$2.79,370 cal,"2605 Jacksboro Hwy, River Oaks, TX, 76114, US",2605 Jacksboro Hwy
Onion Rings,$2.79,360 cal,"2605 Jacksboro Hwy, River Oaks, TX, 76114, US",2605 Jacksboro Hwy
12 Pc. Chicken Fries,$4.99,340 cal,"2605 Jacksboro Hwy, River Oaks, TX, 76114, US",2605 Jacksboro Hwy
8 Pc. Chicken Fries,$3.99,220 cal,"2605 Jacksboro Hwy, River Oaks, TX, 76114, US",2605 Jacksboro Hwy
12 Pc. Mozzarella Fries,$4.99,730 cal,"2605 Jacksboro Hwy, River Oaks, TX, 76114, US",2605 Jacksboro Hwy
8 Pc. Mozzarella Fries,$3.79,480 cal,"2605 Jacksboro Hwy, River Oaks, TX, 76114, US",2605 Jacksboro Hwy
4 Pc. Mozzarella Fries,$1.99,240 cal,"2605 Jacksboro Hwy, River Oaks, TX, 76114, US",2605 Jacksboro Hwy
8 Pc. Fiery Buffalo Nuggets,$2.99,510 cal,"2605 Jacksboro Hwy, River Oaks, TX, 76114, US",2605 Jacksboro Hwy
4 Pc. Chicken Fries,$1.99,110 cal,"2605 Jacksboro Hwy, River Oaks, TX, 76114, US",2605 Jacksboro Hwy
16 Pc. Chicken Nuggets,$4.69,770 cal,"2605 Jacksboro Hwy, River Oaks, TX, 76114, US",2605 Jacksboro Hwy
8 Pc. Chicken Nuggets,$2.49,390 cal,"2605 Jacksboro Hwy, River Oaks, TX, 76114, US",2605 Jacksboro Hwy
4 Pc. Chicken Nuggets,$1.39,190 cal,"2605 Jacksboro Hwy, River Oaks, TX, 76114, US",2605 Jacksboro Hwy
MOTTS Applesauce,$1.59,50 cal,"2605 Jacksboro Hwy, River Oaks, TX, 76114, US",2605 Jacksboro Hwy
Classic Melt,$4.99,600 cal,"2700 University Blvd, Birmingham, AL, 35233, US",2700 University Blvd
Bacon Melt,$5.49,650 cal,"2700 University Blvd, Birmingham, AL, 35233, US",2700 University Blvd
Philly Melt,$5.49,590 cal,"2700 University Blvd, Birmingham, AL, 35233, US",2700 University Blvd
Whopper,$5.89,670 cal,"2700 University Blvd, Birmingham, AL, 35233, US",2700 University Blvd
Impossible™ Whopper,$6.89,630 cal,"2700 University Blvd, Birmingham, AL, 35233, US",2700 University Blvd
Texas Double Whopper,$7.69,"1,090 cal","2700 University Blvd, Birmingham, AL, 35233, US",2700 University Blvd
Double Whopper,$6.99,920 cal,"2700 University Blvd, Birmingham, AL, 35233, US",2700 University Blvd
Triple Whopper,$7.99,"1,170 cal","2700 University Blvd, Birmingham, AL, 35233, US",2700 University Blvd
Bacon King,$7.59,"1,200 cal","2700 University Blvd, Birmingham, AL, 35233, US",2700 University Blvd
BBQ Bacon Whopper Jr.,$3.49,390 cal,"2700 University Blvd, Birmingham, AL, 35233, US",2700 University Blvd
Whopper Jr.,$2.99,330 cal,"2700 University Blvd, Birmingham, AL, 35233, US",2700 University Blvd
Bacon Double Cheeseburger,$3.49,440 cal,"2700 University Blvd, Birmingham, AL, 35233, US",2700 University Blvd
Bacon Cheeseburger,$2.69,340 cal,"2700 University Blvd, Birmingham, AL, 35233, US",2700 University Blvd
Double Cheeseburger,$2.89,400 cal,"2700 University Blvd, Birmingham, AL, 35233, US",2700 University Blvd
Cheeseburger,$2.29,290 cal,"2700 University Blvd, Birmingham, AL, 35233, US",2700 University Blvd
Rodeo Burger,$2.19,340 cal,"2700 University Blvd, Birmingham, AL, 35233, US",2700 University Blvd
Hamburger,$1.89,250 cal,"2700 University Blvd, Birmingham, AL, 35233, US",2700 University Blvd
Have-sies™,$2.99,380 cal,"2700 University Blvd, Birmingham, AL, 35233, US",2700 University Blvd
French Fries,$2.99,370 cal,"2700 University Blvd, Birmingham, AL, 35233, US",2700 University Blvd
