,restaurant_name,restaurant_location,specialty_item,cheeseburger,fries,drink,dessert,four_to_six,number_of_items,average_rating,number_of_ratings,average_menu_price,hamburger,wave,uber_eats,fast_food,small,state,zip,ca,county_name
33,Denny,"3333 atlantic ave, long beach, ca, 90807, us",16.39,15.59,5.09,4.29,6.49,30,101,4.600000000000002,33,10.726633663366336,,1,1,0,0,ca,90807,1,Los Angeles
34,Denny,"1440 west pacific coast, wilmington, ca, 90744, us",17.04,16.21,5.29,4.46,6.74,26,103,4.5,43,11.143300970873787,,1,1,0,0,ca,90744,1,Los Angeles
35,Denny,"17230 lakewood blvd., bellflower, ca, 90706, us",17.35,17.04,5.08,4.46,6.95,26,105,4.299999999999999,35,11.418380952380954,,1,1,0,0,ca,90706,1,Los Angeles
36,Denny,"11195 long beach blvd, lynwood, ca, 90262, us",17.35,16.73,5.18,4.35,6.33,26,104,4.3999999999999995,133,11.485384615384616,,1,1,0,0,ca,90262,1,Los Angeles
37,Denny,"5570 pacific coast highway, long beach, ca, 90804, us",17.35,17.04,5.08,4.46,6.95,25,105,4.899999999999999,46,11.452761904761905,,1,1,0,0,ca,90804,1,Los Angeles
38,Denny,"27541 wayne mills place, valencia, ca, 91355, us",17.09,16.69,4.89,4.29,6.69,30,103,4.7,38,11.087087378640774,,1,1,0,0,ca,91355,1,Los Angeles
39,Denny,"25341 chiquella dr., stephenson ranch, ca, 91381, us",17.09,16.69,4.89,4.29,6.69,30,104,4.8999999999999995,32,11.1275,,1,1,0,0,ca,91381,1,Los Angeles
40,Denny,"12861 encinitas ave., sylmar, ca, 91342, us",17.77,17.35,5.08,4.46,6.95,26,104,4.700000000000001,15,11.460288461538461,,1,1,0,0,ca,91342,1,Los Angeles
41,Denny,"18932 w. soledad canyon rd, canyon country, ca, 91351, us",17.09,16.69,4.89,4.29,6.69,30,103,4.399999999999998,16,11.087087378640774,,1,1,0,0,ca,91351,1,Los Angeles
42,Denny,"16401 delone st., santa clarita, ca, 91387, us",17.09,16.69,4.89,4.29,6.69,30,104,4.6000000000000005,30,11.138076923076921,,1,1,0,0,ca,91387,1,Los Angeles
43,Denny,"115 baker ave, santa rosa, ca, 95407, us",18.7,17.25,5.6,4.46,7.06,69,304,3.9684210526315784,15,12.409243421052631,,1,1,0,0,ca,95407,1,Sonoma
44,Denny,"2005 n main street, salinas, ca, 93906, us",17.46,16.73,5.18,4.35,6.33,25,106,4.0,23,11.567641509433965,,1,1,0,0,ca,93906,1,Monterey
45,Denny,"975 e blanco rd, salinas, ca, 93901, us",19.12,17.56,5.81,4.56,7.16,21,105,4.799999999999999,18,12.683047619047619,,1,1,0,0,ca,93901,1,Monterey
46,Denny,"2137 north fremont st., monterey, ca, 93940, us",17.35,17.46,5.29,4.66,6.64,26,99,4.899999999999999,16,12.056363636363635,,1,1,0,0,ca,93940,1,Monterey
47,Denny,"300 fremont st, monterey, ca, 93940, us",17.46,16.73,5.18,4.35,6.33,25,106,4.700000000000001,27,11.562735849056603,,1,1,0,0,ca,93940,1,Monterey
48,Denny,"1571 el camino real, tustin, ca, 92780, us",17.46,16.73,5.18,4.35,6.33,26,104,4.8999999999999995,72,11.488173076923077,,1,1,0,0,ca,92780,1,Orange
49,Denny,"108 e orangethorpe ave, placentia, ca, 92870, us",17.35,17.04,5.08,4.46,6.95,54,202,4.799999999999999,36,11.458217821782176,,1,1,0,0,ca,92870,1,Orange
50,Denny,"1610 south harbor blvd., anaheim, ca, 92802, us",17.04,16.21,5.29,4.46,,50,174,4.600000000000001,28,11.53287356321839,,1,1,0,0,ca,92802,1,Orange
51,Denny,"2314 e 17th st, santa ana, ca, 92701, us",16.69,16.59,4.89,4.39,6.69,32,100,4.600000000000001,12,10.835999999999999,,1,1,0,0,ca,92701,1,Orange
52,Denny,"2530 s bristol street, santa ana, ca, 92704, us",17.77,17.35,5.08,4.46,6.95,25,101,4.399999999999998,16,11.375643564356434,,1,1,0,0,ca,92704,1,Orange
53,Denny,"1501 w 17th st, santa ana, ca, 92706, us",17.77,17.35,5.08,4.46,6.95,24,100,4.100000000000001,15,11.446900000000001,,1,1,0,0,ca,92706,1,Orange
54,Denny,"210 s euclid st, anaheim, ca, 92802, us",17.35,17.25,5.08,4.56,6.95,23,102,4.899999999999998,18,11.547254901960784,,1,1,0,0,ca,92802,1,Orange
55,Denny,"1375 s harbor blvd, fullerton, ca, 92832, us",16.89,16.49,4.99,4.29,6.59,28,103,4.3,20,10.919126213592232,,1,1,0,0,ca,92832,1,Orange
56,Denny,"1168 w katella ave, anaheim, ca, 92802, us",16.69,16.39,4.89,4.29,6.69,29,98,4.700000000000001,32,11.075714285714284,,1,1,0,0,ca,92802,1,Orange
57,Denny,"2005 e katella ave, anaheim, ca, 92806, us",17.98,17.56,5.18,4.56,6.95,28,100,4.399999999999999,31,11.477899999999998,,1,1,0,0,ca,92806,1,Orange
58,Denny,"122 sunrise ave., roseville, ca, 95661, us",17.35,17.46,5.29,4.66,6.64,52,208,3.399999999999999,16,11.80298076923077,,1,1,0,0,ca,95661,1,Placer
59,Denny,"5120 interstate ave, sacramento, ca, 95660, us",17.35,17.25,5.08,4.56,6.95,48,198,4.200000000000001,40,11.424040404040404,,1,1,0,0,ca,95660,1,Sacramento
60,Denny,"3520 auburn blvd., sacramento, ca, 95821, us",17.35,17.46,5.29,4.66,6.64,108,416,4.200000000000001,20,11.816923076923077,,1,1,0,0,ca,95821,1,Sacramento
61,Denny,"8841 greenback ln, orangevale, ca, 95662, us",17.35,17.46,5.29,4.66,6.64,52,196,4.399999999999999,10,11.70520408163265,,1,1,0,0,ca,95662,1,Sacramento
62,Denny,"2474 sunrise blvd, rancho cordova, ca, 95670, us",17.35,17.25,5.08,4.56,6.95,69,294,4.5,33,11.576836734693877,,1,1,0,0,ca,95670,1,Sacramento
63,Denny,"1245 university ave., riverside, ca, 92507, us",17.39,17.29,5.09,4.59,6.99,56,210,4.5,26,11.503333333333332,,1,1,0,0,ca,92507,1,Riverside
64,Denny,"3530 madison st, riverside, ca, 92504, us",17.04,16.21,5.29,4.46,6.74,50,210,4.700000000000001,34,11.244476190476192,,1,1,0,0,ca,92504,1,Riverside
65,Denny,"6875 valley way, rubidoux, ca, 92509, us",17.04,16.21,5.29,4.46,6.74,50,210,4.100000000000001,33,11.244476190476192,,1,1,0,0,ca,92509,1,Riverside
