,restaurant_name,restaurant_location,specialty_item,cheeseburger,hamburger,combo,fries,drink,dessert,four_to_six,number_of_items,average_rating,number_of_ratings,average_menu_price,wave,uber_eats,fast_food,small,state,zip,county_name,ca
2600,Burger King,"1171 seaboard street, myrtle beach, sc, 29577, us",10.44,2.88,5.56,16.72,5.2,,,12,62,4.199999999999998,380+,10.422419354838711,2,1,1,0,sc,29577,Horry,0
2601,Burger King,"100 legends road, myrtle beach, sc, 29579, us",,,,,3.11,,,11,142,4.2,1,13.679295774647887,2,1,1,0,sc,29579,Horry,0
2602,Burger King,"2216 bush river road, columbia, sc, 29210, us",7.81,3.59,4.26,13.79,3.76,,,24,160,4.200000000000001,370+,8.053125000000001,2,1,1,0,sc,29210,Richland,0
2603,Burger King,"3403 north main street, columbia, sc, 29203, us",7.81,3.59,4.26,13.79,3.76,,,24,160,4.3999999999999995,1,8.053125,2,1,1,0,sc,29203,Richland,0
2604,Burger King,"1212 west main street, lexington, sc, 29072, us",7.81,3.59,4.26,13.79,3.76,,,12,80,4.1000000000000005,110+,8.053125,2,1,1,0,sc,29072,Lexington,0
2605,Burger King,"7915 garners ferry road, columbia, sc, 29209, us",7.81,3.59,4.26,13.79,3.76,,,12,80,4.200000000000001,340+,8.053125000000001,2,1,1,0,sc,29209,Richland,0
2606,Burger King,"2902 two notch road, columbia, sc, 29204, us",7.81,3.59,4.26,13.79,3.76,,,12,80,3.8,450+,8.053125,2,1,1,0,sc,29204,Richland,0
2607,Burger King,"6029 wade hampton boulevard, taylors, sc, 29687, us",6.6,2.45,3.79,9.3,3.79,,3.05,12,83,4.399999999999999,410+,5.962289156626506,2,1,1,0,sc,29687,Greenville,0
2608,Burger King,"909 gsp drive, greer, sc, 29651, us",6.6,2.45,3.79,9.3,3.79,,3.05,12,83,4.5,120+,5.962289156626506,2,1,1,0,sc,29651,Greenville,0
2609,Burger King,"1371 saluda street, rock hill, sc, 29730, us",6.6,2.45,3.79,9.3,3.79,,3.05,12,83,4.2,100+,5.962289156626506,2,1,1,0,sc,29730,York,0
2610,Burger King,"1501 charlotte avenue, nashville, tn, 37203, us",6.99,2.69,4.4,9.55,4.05,,3.05,16,83,4.2,1,6.067108433734941,2,1,1,0,tn,37203,Davidson,0
2611,Burger King,"728 gallatin road, nashville, tn, 37206, us",6.99,2.69,4.4,9.55,4.05,,3.05,16,83,4.399999999999999,1,6.067108433734941,2,1,1,0,tn,37206,Davidson,0
2612,Burger King,"2119 east 23rd street, chattanooga, tn, 37404, us",6.59,2.79,3.89,11.79,3.39,,,15,79,4.199999999999999,240+,7.4553164556962,2,1,1,0,tn,37404,Hamilton,0
2613,Burger King,"3401 amnicola highway, chattanooga, tn, 37406, us",6.59,2.79,3.89,11.79,3.39,,,15,79,4.199999999999999,190+,7.4553164556962,2,1,1,0,tn,37406,Hamilton,0
