menu_item,menu_item_price,menu_item_calories,restaurant_address
Original Angus Burger,6.89,820,"4994 E 41St, Tulsa, OK, 74135, US"
Guacamole Bacon Angus Burger,8.99,960,"4994 E 41St, Tulsa, OK, 74135, US"
Jalapeño Angus Burger,7.29,830,"4994 E 41St, Tulsa, OK, 74135, US"
California Classic Double Cheeseburger,3.49,560,"4994 E 41St, Tulsa, OK, 74135, US"
Big Hamburger,3.99,480,"4994 E 41St, Tulsa, OK, 74135, US"
Double Spicy Western Bacon Cheeseburger®,6.99,1060,"925 w Antelope Drive, Layton, UT, 84041, US"
2 for $6 Chicken Tender Wraps,3.19,270,"925 w Antelope Drive, Layton, UT, 84041, US"
Panko-Breaded Fish Sandwich Combo,5.39,810,"925 w Antelope Drive, Layton, UT, 84041, US"
Double Spicy Western Bacon Cheeseburger®,6.99,1060,"925 w Antelope Drive, Layton, UT, 84041, US"
Spicy Western Bacon Angus Cheeseburger®,7.49,940,"925 w Antelope Drive, Layton, UT, 84041, US"
Famous Star® with Cheese,5.99,670,"925 w Antelope Drive, Layton, UT, 84041, US"
Beyond Famous Star® with Cheese,7.99,770,"925 w Antelope Drive, Layton, UT, 84041, US"
Super Star® with Cheese,7.39,920,"925 w Antelope Drive, Layton, UT, 84041, US"
Western Bacon Cheeseburger®,6.99,760,"925 w Antelope Drive, Layton, UT, 84041, US"
Double Western Bacon Cheeseburger®,8.29,1020,"925 w Antelope Drive, Layton, UT, 84041, US"
The Big Carl®,7.89,920,"925 w Antelope Drive, Layton, UT, 84041, US"
Original Angus Burger,8.49,820,"925 w Antelope Drive, Layton, UT, 84041, US"
Guacamole Bacon Angus Burger,8.59,960,"925 w Antelope Drive, Layton, UT, 84041, US"
Jalapeño Angus Burger,8.79,830,"925 w Antelope Drive, Layton, UT, 84041, US"
California Classic Double Cheeseburger,3.99,560,"925 w Antelope Drive, Layton, UT, 84041, US"
Big Hamburger,3.89,480,"925 w Antelope Drive, Layton, UT, 84041, US"
Double Spicy Western Bacon Cheeseburger®,6.99,1060,"2118 W 1700 S SYRACUSE, UT 84075, US"
2 for $6 Chicken Tender Wraps,3.19,270,"2118 W 1700 S SYRACUSE, UT 84075, US"
Panko-Breaded Fish Sandwich Combo,5.39,810,"2118 W 1700 S SYRACUSE, UT 84075, US"
