,menu_item,price,calories,address
42,Son of Baconator®,5.69,630,"30500 State Hwy 181, Spanish Fort, AL, 36527, US"
43,Big Bacon Classic®,6.59,650,"30500 State Hwy 181, Spanish Fort, AL, 36527, US"
44,Big Bacon Classic® Double,7.79,920,"30500 State Hwy 181, Spanish Fort, AL, 36527, US"
45,Big Bacon Classic Triple,8.99,"1,220","30500 State Hwy 181, Spanish Fort, AL, 36527, US"
46,Bacon Double Stack,4.19,440,"30500 State Hwy 181, Spanish Fort, AL, 36527, US"
47,Jr. Bacon Cheeseburger,3.59,370,"30500 State Hwy 181, Spanish Fort, AL, 36527, US"
48,Jr. Cheeseburger Deluxe,2.59,350,"30500 State Hwy 181, Spanish Fort, AL, 36527, US"
49,Jr. Cheeseburger,2.39,290,"30500 State Hwy 181, Spanish Fort, AL, 36527, US"
50,Double Stack™,3.59,410,"30500 State Hwy 181, Spanish Fort, AL, 36527, US"
51,Jr. Hamburger,2.19,250,"30500 State Hwy 181, Spanish Fort, AL, 36527, US"
52,French Fries,1.19-3.39,210-470,"30500 State Hwy 181, Spanish Fort, AL, 36527, US"
53,Queso Fries,3.29,390,"30500 State Hwy 181, Spanish Fort, AL, 36527, US"
54,Baconator Fries,3.59,460,"30500 State Hwy 181, Spanish Fort, AL, 36527, US"
55,Chili Cheese Fries,3.59,520,"30500 State Hwy 181, Spanish Fort, AL, 36527, US"
56,Cheese Fries,3.29,470,"30500 State Hwy 181, Spanish Fort, AL, 36527, US"
57,Chili,2.79/3.59,240/340,"30500 State Hwy 181, Spanish Fort, AL, 36527, US"
58,Sour Cream and Chive Baked Potato,2.69,310,"30500 State Hwy 181, Spanish Fort, AL, 36527, US"
59,Plain Baked Potato,2.49,270,"30500 State Hwy 181, Spanish Fort, AL, 36527, US"
60,Bacon Cheese Baked Potato,3.99,440,"30500 State Hwy 181, Spanish Fort, AL, 36527, US"
61,Chili & Cheese Baked Potato,3.99,500,"30500 State Hwy 181, Spanish Fort, AL, 36527, US"
62,Cheese Baked Potato,3.49,450,"30500 State Hwy 181, Spanish Fort, AL, 36527, US"
63,Apple Bites,0.99,35,"30500 State Hwy 181, Spanish Fort, AL, 36527, US"
64,6 PC. Crispy Chicken Nuggets,3.19,270,"30500 State Hwy 181, Spanish Fort, AL, 36527, US"
65,4 PC. Crispy Chicken Nuggets,2.39,180,"30500 State Hwy 181, Spanish Fort, AL, 36527, US"
66,6 PC. Spicy Chicken Nuggets,3.19,280,"30500 State Hwy 181, Spanish Fort, AL, 36527, US"
67,4 PC. Spicy Chicken Nuggets,2.39,190,"30500 State Hwy 181, Spanish Fort, AL, 36527, US"
68,Pretzel Baconator®,8.99,"1,050","3957 Cottage Hill Road, Mobile, AL, 36693, US"
69,Loaded Nacho Single Cheeseburger,6.29,710,"3957 Cottage Hill Road, Mobile, AL, 36693, US"
70,Loaded Nacho Double Cheeseburger,7.59,980,"3957 Cottage Hill Road, Mobile, AL, 36693, US"
71,Loaded Nacho Triple Cheeseburger,8.89,"1,280","3957 Cottage Hill Road, Mobile, AL, 36693, US"
72,Dave's Single®,5.39,590,"3957 Cottage Hill Road, Mobile, AL, 36693, US"
73,Dave's Double®,6.69,860,"3957 Cottage Hill Road, Mobile, AL, 36693, US"
74,Dave's Triple®,7.99,"1,160","3957 Cottage Hill Road, Mobile, AL, 36693, US"
75,Baconator®,7.99,960,"3957 Cottage Hill Road, Mobile, AL, 36693, US"
76,Son of Baconator®,5.69,630,"3957 Cottage Hill Road, Mobile, AL, 36693, US"
77,Big Bacon Classic®,6.59,650,"3957 Cottage Hill Road, Mobile, AL, 36693, US"
78,Big Bacon Classic® Double,7.79,920,"3957 Cottage Hill Road, Mobile, AL, 36693, US"
79,Big Bacon Classic Triple,8.99,"1,220","3957 Cottage Hill Road, Mobile, AL, 36693, US"
80,Bacon Double Stack,4.19,440,"3957 Cottage Hill Road, Mobile, AL, 36693, US"
81,Jr. Bacon Cheeseburger,3.59,370,"3957 Cottage Hill Road, Mobile, AL, 36693, US"
82,Jr. Cheeseburger Deluxe,2.59,350,"3957 Cottage Hill Road, Mobile, AL, 36693, US"
83,Jr. Cheeseburger,2.39,290,"3957 Cottage Hill Road, Mobile, AL, 36693, US"
84,Double Stack™,3.59,410,"3957 Cottage Hill Road, Mobile, AL, 36693, US"
85,Jr. Hamburger,2.19,250,"3957 Cottage Hill Road, Mobile, AL, 36693, US"
86,French Fries,1.19-3.39,210-470,"3957 Cottage Hill Road, Mobile, AL, 36693, US"
87,Queso Fries,3.29,390,"3957 Cottage Hill Road, Mobile, AL, 36693, US"
88,Baconator Fries,3.59,460,"3957 Cottage Hill Road, Mobile, AL, 36693, US"
89,Chili Cheese Fries,3.59,520,"3957 Cottage Hill Road, Mobile, AL, 36693, US"
90,Cheese Fries,3.29,470,"3957 Cottage Hill Road, Mobile, AL, 36693, US"
91,Chili,2.79/3.59,240/340,"3957 Cottage Hill Road, Mobile, AL, 36693, US"
92,Sour Cream and Chive Baked Potato,2.69,310,"3957 Cottage Hill Road, Mobile, AL, 36693, US"
93,Plain Baked Potato,2.49,270,"3957 Cottage Hill Road, Mobile, AL, 36693, US"
94,Bacon Cheese Baked Potato,3.99,440,"3957 Cottage Hill Road, Mobile, AL, 36693, US"
95,Chili & Cheese Baked Potato,3.99,500,"3957 Cottage Hill Road, Mobile, AL, 36693, US"
96,Cheese Baked Potato,3.49,450,"3957 Cottage Hill Road, Mobile, AL, 36693, US"
97,Apple Bites,0.99,35,"3957 Cottage Hill Road, Mobile, AL, 36693, US"
98,6 PC. Crispy Chicken Nuggets,3.19,270,"3957 Cottage Hill Road, Mobile, AL, 36693, US"
99,4 PC. Crispy Chicken Nuggets,2.39,180,"3957 Cottage Hill Road, Mobile, AL, 36693, US"
100,6 PC. Spicy Chicken Nuggets,3.19,280,"3957 Cottage Hill Road, Mobile, AL, 36693, US"
101,4 PC. Spicy Chicken Nuggets,2.39,190,"3957 Cottage Hill Road, Mobile, AL, 36693, US"
102,Pretzel Baconator®,8.99,"1,050","2727 Highway 280, Birmingham, AL, 35223, US"
103,Loaded Nacho Single Cheeseburger,6.99,710,"2727 Highway 280, Birmingham, AL, 35223, US"
104,Loaded Nacho Double Cheeseburger,7.99,980,"2727 Highway 280, Birmingham, AL, 35223, US"
105,Loaded Nacho Triple Cheeseburger,8.99,"1,280","2727 Highway 280, Birmingham, AL, 35223, US"
106,Dave's Single®,6.19,590,"2727 Highway 280, Birmingham, AL, 35223, US"
107,Dave's Double®,7.19,860,"2727 Highway 280, Birmingham, AL, 35223, US"
108,Dave's Triple®,8.19,"1,160","2727 Highway 280, Birmingham, AL, 35223, US"
109,Baconator®,7.99,960,"2727 Highway 280, Birmingham, AL, 35223, US"
110,Son of Baconator®,5.99,630,"2727 Highway 280, Birmingham, AL, 35223, US"
111,Big Bacon Classic®,6.69,650,"2727 Highway 280, Birmingham, AL, 35223, US"
112,Big Bacon Classic® Double,7.69,910,"2727 Highway 280, Birmingham, AL, 35223, US"
113,Big Bacon Classic Triple,8.69,"1,220","2727 Highway 280, Birmingham, AL, 35223, US"
114,Bacon Double Stack,4.39,440,"2727 Highway 280, Birmingham, AL, 35223, US"
115,Jr. Bacon Cheeseburger,2.99,370,"2727 Highway 280, Birmingham, AL, 35223, US"
116,Jr. Cheeseburger Deluxe,2.99,340,"2727 Highway 280, Birmingham, AL, 35223, US"
117,Jr. Cheeseburger,2.59,290,"2727 Highway 280, Birmingham, AL, 35223, US"
118,Double Stack™,3.99,410,"2727 Highway 280, Birmingham, AL, 35223, US"
119,Jr. Hamburger,1.99,250,"2727 Highway 280, Birmingham, AL, 35223, US"
120,French Fries,1.99-3.59,210-470,"2727 Highway 280, Birmingham, AL, 35223, US"
121,Queso Fries,2.99,390,"2727 Highway 280, Birmingham, AL, 35223, US"
122,Baconator Fries,3.99,460,"2727 Highway 280, Birmingham, AL, 35223, US"
123,Chili Cheese Fries,3.99,520,"2727 Highway 280, Birmingham, AL, 35223, US"
124,Cheese Fries,2.99,470,"2727 Highway 280, Birmingham, AL, 35223, US"
125,Family Chili,13.49,"1,100","2727 Highway 280, Birmingham, AL, 35223, US"
126,Chili,3.29/3.79,240/340,"2727 Highway 280, Birmingham, AL, 35223, US"
127,Sour Cream and Chive Baked Potato,3.29,310,"2727 Highway 280, Birmingham, AL, 35223, US"
128,Plain Baked Potato,2.99,270,"2727 Highway 280, Birmingham, AL, 35223, US"
129,Bacon Cheese Baked Potato,4.59,440,"2727 Highway 280, Birmingham, AL, 35223, US"
130,Chili & Cheese Baked Potato,4.29,500,"2727 Highway 280, Birmingham, AL, 35223, US"
131,Cheese Baked Potato,3.79,450,"2727 Highway 280, Birmingham, AL, 35223, US"
132,Apple Bites,0.99,35,"2727 Highway 280, Birmingham, AL, 35223, US"
133,6 PC. Crispy Chicken Nuggets,2.99,270,"2727 Highway 280, Birmingham, AL, 35223, US"
134,4 PC. Crispy Chicken Nuggets,2.19,180,"2727 Highway 280, Birmingham, AL, 35223, US"
135,6 PC. Spicy Chicken Nuggets,2.99,280,"2727 Highway 280, Birmingham, AL, 35223, US"
136,4 PC. Spicy Chicken Nuggets,2.19,190,"2727 Highway 280, Birmingham, AL, 35223, US"
137,Pretzel Baconator®,8.99,"1,050","2327 7Th Avenue S., Birmingham, AL, 35233, US"
138,Loaded Nacho Single Cheeseburger,6.99,710,"2327 7Th Avenue S., Birmingham, AL, 35233, US"
139,Loaded Nacho Double Cheeseburger,7.99,980,"2327 7Th Avenue S., Birmingham, AL, 35233, US"
140,Loaded Nacho Triple Cheeseburger,8.99,"1,280","2327 7Th Avenue S., Birmingham, AL, 35233, US"
141,Dave's Single®,6.19,590,"2327 7Th Avenue S., Birmingham, AL, 35233, US"
142,Dave's Double®,7.19,860,"2327 7Th Avenue S., Birmingham, AL, 35233, US"
143,Dave's Triple®,8.19,"1,160","2327 7Th Avenue S., Birmingham, AL, 35233, US"
144,Baconator®,7.99,960,"2327 7Th Avenue S., Birmingham, AL, 35233, US"
145,Son of Baconator®,5.99,630,"2327 7Th Avenue S., Birmingham, AL, 35233, US"
146,Big Bacon Classic®,6.69,650,"2327 7Th Avenue S., Birmingham, AL, 35233, US"
147,Big Bacon Classic® Double,7.69,910,"2327 7Th Avenue S., Birmingham, AL, 35233, US"
148,Big Bacon Classic Triple,8.69,"1,220","2327 7Th Avenue S., Birmingham, AL, 35233, US"
149,Bacon Double Stack,4.39,440,"2327 7Th Avenue S., Birmingham, AL, 35233, US"
150,Jr. Bacon Cheeseburger,2.99,370,"2327 7Th Avenue S., Birmingham, AL, 35233, US"
151,Jr. Cheeseburger Deluxe,2.99,340,"2327 7Th Avenue S., Birmingham, AL, 35233, US"
152,Jr. Cheeseburger,2.59,290,"2327 7Th Avenue S., Birmingham, AL, 35233, US"
153,Double Stack™,3.99,410,"2327 7Th Avenue S., Birmingham, AL, 35233, US"
154,Jr. Hamburger,1.99,250,"2327 7Th Avenue S., Birmingham, AL, 35233, US"
155,French Fries,1.99-3.59,210-470,"2327 7Th Avenue S., Birmingham, AL, 35233, US"
156,Queso Fries,2.99,390,"2327 7Th Avenue S., Birmingham, AL, 35233, US"
157,Baconator Fries,3.99,460,"2327 7Th Avenue S., Birmingham, AL, 35233, US"
158,Chili Cheese Fries,3.99,520,"2327 7Th Avenue S., Birmingham, AL, 35233, US"
159,Cheese Fries,2.99,470,"2327 7Th Avenue S., Birmingham, AL, 35233, US"
160,Family Chili,13.49,"1,100","2327 7Th Avenue S., Birmingham, AL, 35233, US"
161,Chili,3.29/3.79,240/340,"2327 7Th Avenue S., Birmingham, AL, 35233, US"
162,Sour Cream and Chive Baked Potato,3.29,310,"2327 7Th Avenue S., Birmingham, AL, 35233, US"
163,Plain Baked Potato,2.99,270,"2327 7Th Avenue S., Birmingham, AL, 35233, US"
164,Bacon Cheese Baked Potato,4.59,440,"2327 7Th Avenue S., Birmingham, AL, 35233, US"
165,Chili & Cheese Baked Potato,4.29,500,"2327 7Th Avenue S., Birmingham, AL, 35233, US"
166,Cheese Baked Potato,3.79,450,"2327 7Th Avenue S., Birmingham, AL, 35233, US"
167,Apple Bites,0.99,35,"2327 7Th Avenue S., Birmingham, AL, 35233, US"
168,6 PC. Crispy Chicken Nuggets,2.99,270,"2327 7Th Avenue S., Birmingham, AL, 35233, US"
169,4 PC. Crispy Chicken Nuggets,2.19,180,"2327 7Th Avenue S., Birmingham, AL, 35233, US"
170,6 PC. Spicy Chicken Nuggets,2.99,280,"2327 7Th Avenue S., Birmingham, AL, 35233, US"
171,4 PC. Spicy Chicken Nuggets,2.19,190,"2327 7Th Avenue S., Birmingham, AL, 35233, US"
172,Pretzel Baconator®,8.99,"1,050","345 Valley Ave, Birmingham, AL, 35209, US"
173,Loaded Nacho Single Cheeseburger,6.99,710,"345 Valley Ave, Birmingham, AL, 35209, US"
174,Loaded Nacho Double Cheeseburger,7.99,980,"345 Valley Ave, Birmingham, AL, 35209, US"
175,Loaded Nacho Triple Cheeseburger,8.99,"1,280","345 Valley Ave, Birmingham, AL, 35209, US"
176,Dave's Single®,6.19,590,"345 Valley Ave, Birmingham, AL, 35209, US"
177,Dave's Double®,7.19,860,"345 Valley Ave, Birmingham, AL, 35209, US"
178,Dave's Triple®,8.19,"1,160","345 Valley Ave, Birmingham, AL, 35209, US"
179,Baconator®,7.99,960,"345 Valley Ave, Birmingham, AL, 35209, US"
180,Son of Baconator®,5.99,630,"345 Valley Ave, Birmingham, AL, 35209, US"
181,Big Bacon Classic®,6.69,650,"345 Valley Ave, Birmingham, AL, 35209, US"
182,Big Bacon Classic® Double,7.69,910,"345 Valley Ave, Birmingham, AL, 35209, US"
183,Big Bacon Classic Triple,8.69,"1,220","345 Valley Ave, Birmingham, AL, 35209, US"
184,Bacon Double Stack,4.39,440,"345 Valley Ave, Birmingham, AL, 35209, US"
185,Jr. Bacon Cheeseburger,2.99,370,"345 Valley Ave, Birmingham, AL, 35209, US"
186,Jr. Cheeseburger Deluxe,2.99,340,"345 Valley Ave, Birmingham, AL, 35209, US"
187,Jr. Cheeseburger,2.59,290,"345 Valley Ave, Birmingham, AL, 35209, US"
188,Double Stack™,3.99,410,"345 Valley Ave, Birmingham, AL, 35209, US"
189,Jr. Hamburger,1.99,250,"345 Valley Ave, Birmingham, AL, 35209, US"
190,French Fries,1.99-3.59,210-470,"345 Valley Ave, Birmingham, AL, 35209, US"
191,Queso Fries,2.99,390,"345 Valley Ave, Birmingham, AL, 35209, US"
192,Baconator Fries,3.99,460,"345 Valley Ave, Birmingham, AL, 35209, US"
193,Chili Cheese Fries,3.99,520,"345 Valley Ave, Birmingham, AL, 35209, US"
194,Cheese Fries,2.99,470,"345 Valley Ave, Birmingham, AL, 35209, US"
195,Family Chili,13.49,"1,100","345 Valley Ave, Birmingham, AL, 35209, US"
196,Chili,3.29/3.79,240/340,"345 Valley Ave, Birmingham, AL, 35209, US"
197,Sour Cream and Chive Baked Potato,3.29,310,"345 Valley Ave, Birmingham, AL, 35209, US"
198,Plain Baked Potato,2.99,270,"345 Valley Ave, Birmingham, AL, 35209, US"
199,Bacon Cheese Baked Potato,4.59,440,"345 Valley Ave, Birmingham, AL, 35209, US"
200,Chili & Cheese Baked Potato,4.29,500,"345 Valley Ave, Birmingham, AL, 35209, US"
201,Cheese Baked Potato,3.79,450,"345 Valley Ave, Birmingham, AL, 35209, US"
202,Apple Bites,0.99,35,"345 Valley Ave, Birmingham, AL, 35209, US"
203,6 PC. Crispy Chicken Nuggets,2.99,270,"345 Valley Ave, Birmingham, AL, 35209, US"
204,4 PC. Crispy Chicken Nuggets,2.19,180,"345 Valley Ave, Birmingham, AL, 35209, US"
205,6 PC. Spicy Chicken Nuggets,2.99,280,"345 Valley Ave, Birmingham, AL, 35209, US"
206,4 PC. Spicy Chicken Nuggets,2.19,190,"345 Valley Ave, Birmingham, AL, 35209, US"
207,Pretzel Baconator®,8.69,"1,050","2080 Sparkman Drive, Huntsville, AL, 35810, US"
208,Loaded Nacho Single Cheeseburger,6.69,710,"2080 Sparkman Drive, Huntsville, AL, 35810, US"
209,Loaded Nacho Double Cheeseburger,7.69,980,"2080 Sparkman Drive, Huntsville, AL, 35810, US"
210,Loaded Nacho Triple Cheeseburger,8.69,"1,280","2080 Sparkman Drive, Huntsville, AL, 35810, US"
211,Dave's Single®,5.79,590,"2080 Sparkman Drive, Huntsville, AL, 35810, US"
212,Dave's Double®,6.79,860,"2080 Sparkman Drive, Huntsville, AL, 35810, US"
213,Dave's Triple®,7.79,"1,160","2080 Sparkman Drive, Huntsville, AL, 35810, US"
214,Baconator®,7.69,960,"2080 Sparkman Drive, Huntsville, AL, 35810, US"
215,Son of Baconator®,5.99,630,"2080 Sparkman Drive, Huntsville, AL, 35810, US"
216,Big Bacon Classic®,6.39,650,"2080 Sparkman Drive, Huntsville, AL, 35810, US"
217,Big Bacon Classic® Double,7.39,910,"2080 Sparkman Drive, Huntsville, AL, 35810, US"
218,Big Bacon Classic Triple,8.39,"1,220","2080 Sparkman Drive, Huntsville, AL, 35810, US"
219,Bacon Double Stack,3.69,440,"2080 Sparkman Drive, Huntsville, AL, 35810, US"
220,Jr. Bacon Cheeseburger,3.19,370,"2080 Sparkman Drive, Huntsville, AL, 35810, US"
221,Jr. Cheeseburger Deluxe,2.49,340,"2080 Sparkman Drive, Huntsville, AL, 35810, US"
222,Jr. Cheeseburger,1.99,290,"2080 Sparkman Drive, Huntsville, AL, 35810, US"
223,Double Stack™,3.19,410,"2080 Sparkman Drive, Huntsville, AL, 35810, US"
224,Jr. Hamburger,1.59,250,"2080 Sparkman Drive, Huntsville, AL, 35810, US"
225,French Fries,1.79-2.99,210-470,"2080 Sparkman Drive, Huntsville, AL, 35810, US"
226,Queso Fries,2.69,390,"2080 Sparkman Drive, Huntsville, AL, 35810, US"
227,Baconator Fries,3.69,460,"2080 Sparkman Drive, Huntsville, AL, 35810, US"
228,Chili Cheese Fries,3.69,520,"2080 Sparkman Drive, Huntsville, AL, 35810, US"
229,Cheese Fries,2.69,470,"2080 Sparkman Drive, Huntsville, AL, 35810, US"
230,Chili,2.99/3.99,240/340,"2080 Sparkman Drive, Huntsville, AL, 35810, US"
231,Sour Cream and Chive Baked Potato,2.79,310,"2080 Sparkman Drive, Huntsville, AL, 35810, US"
232,Plain Baked Potato,2.59,270,"2080 Sparkman Drive, Huntsville, AL, 35810, US"
233,Bacon Cheese Baked Potato,4.19,440,"2080 Sparkman Drive, Huntsville, AL, 35810, US"
234,Chili & Cheese Baked Potato,4.19,500,"2080 Sparkman Drive, Huntsville, AL, 35810, US"
235,Cheese Baked Potato,3.69,450,"2080 Sparkman Drive, Huntsville, AL, 35810, US"
236,Apple Bites,1.59,35,"2080 Sparkman Drive, Huntsville, AL, 35810, US"
237,6 PC. Crispy Chicken Nuggets,2.49,270,"2080 Sparkman Drive, Huntsville, AL, 35810, US"
238,4 PC. Crispy Chicken Nuggets,1.69,180,"2080 Sparkman Drive, Huntsville, AL, 35810, US"
239,6 PC. Spicy Chicken Nuggets,2.49,280,"2080 Sparkman Drive, Huntsville, AL, 35810, US"
240,4 PC. Spicy Chicken Nuggets,1.69,190,"2080 Sparkman Drive, Huntsville, AL, 35810, US"
241,Pretzel Baconator®,8.69,"1,050","6102 University Dr Nw, Huntsville, AL, 35806, US"
242,Loaded Nacho Single Cheeseburger,6.69,710,"6102 University Dr Nw, Huntsville, AL, 35806, US"
243,Loaded Nacho Double Cheeseburger,7.69,980,"6102 University Dr Nw, Huntsville, AL, 35806, US"
244,Loaded Nacho Triple Cheeseburger,8.69,"1,280","6102 University Dr Nw, Huntsville, AL, 35806, US"
245,Dave's Single®,5.79,590,"6102 University Dr Nw, Huntsville, AL, 35806, US"
246,Dave's Double®,6.79,860,"6102 University Dr Nw, Huntsville, AL, 35806, US"
247,Dave's Triple®,7.79,"1,160","6102 University Dr Nw, Huntsville, AL, 35806, US"
248,Baconator®,7.69,960,"6102 University Dr Nw, Huntsville, AL, 35806, US"
249,Son of Baconator®,5.99,630,"6102 University Dr Nw, Huntsville, AL, 35806, US"
250,Big Bacon Classic®,6.39,650,"6102 University Dr Nw, Huntsville, AL, 35806, US"
251,Big Bacon Classic® Double,7.39,910,"6102 University Dr Nw, Huntsville, AL, 35806, US"
252,Big Bacon Classic Triple,8.39,"1,220","6102 University Dr Nw, Huntsville, AL, 35806, US"
253,Bacon Double Stack,3.69,440,"6102 University Dr Nw, Huntsville, AL, 35806, US"
254,Jr. Bacon Cheeseburger,3.19,370,"6102 University Dr Nw, Huntsville, AL, 35806, US"
255,Jr. Cheeseburger Deluxe,2.49,340,"6102 University Dr Nw, Huntsville, AL, 35806, US"
256,Jr. Cheeseburger,1.99,290,"6102 University Dr Nw, Huntsville, AL, 35806, US"
257,Double Stack™,3.19,410,"6102 University Dr Nw, Huntsville, AL, 35806, US"
258,Jr. Hamburger,1.59,250,"6102 University Dr Nw, Huntsville, AL, 35806, US"
259,French Fries,1.79-2.99,210-470,"6102 University Dr Nw, Huntsville, AL, 35806, US"
260,Queso Fries,2.69,390,"6102 University Dr Nw, Huntsville, AL, 35806, US"
261,Baconator Fries,3.69,460,"6102 University Dr Nw, Huntsville, AL, 35806, US"
262,Chili Cheese Fries,3.69,520,"6102 University Dr Nw, Huntsville, AL, 35806, US"
263,Cheese Fries,2.69,470,"6102 University Dr Nw, Huntsville, AL, 35806, US"
264,Chili,2.99/3.99,240/340,"6102 University Dr Nw, Huntsville, AL, 35806, US"
265,Sour Cream and Chive Baked Potato,2.79,310,"6102 University Dr Nw, Huntsville, AL, 35806, US"
266,Plain Baked Potato,2.59,270,"6102 University Dr Nw, Huntsville, AL, 35806, US"
267,Bacon Cheese Baked Potato,4.19,440,"6102 University Dr Nw, Huntsville, AL, 35806, US"
268,Chili & Cheese Baked Potato,4.19,500,"6102 University Dr Nw, Huntsville, AL, 35806, US"
269,Cheese Baked Potato,3.69,450,"6102 University Dr Nw, Huntsville, AL, 35806, US"
270,Apple Bites,1.59,35,"6102 University Dr Nw, Huntsville, AL, 35806, US"
271,6 PC. Crispy Chicken Nuggets,2.49,270,"6102 University Dr Nw, Huntsville, AL, 35806, US"
272,4 PC. Crispy Chicken Nuggets,1.69,180,"6102 University Dr Nw, Huntsville, AL, 35806, US"
273,6 PC. Spicy Chicken Nuggets,2.49,280,"6102 University Dr Nw, Huntsville, AL, 35806, US"
274,4 PC. Spicy Chicken Nuggets,1.69,190,"6102 University Dr Nw, Huntsville, AL, 35806, US"
275,Pretzel Baconator®,8.69,"1,050","7782 Highway 72 West, Madison, AL, 35758, US"
276,Loaded Nacho Single Cheeseburger,6.69,710,"7782 Highway 72 West, Madison, AL, 35758, US"
277,Loaded Nacho Double Cheeseburger,7.69,980,"7782 Highway 72 West, Madison, AL, 35758, US"
278,Loaded Nacho Triple Cheeseburger,8.69,"1,280","7782 Highway 72 West, Madison, AL, 35758, US"
279,Dave's Single®,5.79,590,"7782 Highway 72 West, Madison, AL, 35758, US"
280,Dave's Double®,6.79,860,"7782 Highway 72 West, Madison, AL, 35758, US"
281,Dave's Triple®,7.79,"1,160","7782 Highway 72 West, Madison, AL, 35758, US"
282,Baconator®,7.69,960,"7782 Highway 72 West, Madison, AL, 35758, US"
283,Son of Baconator®,5.99,630,"7782 Highway 72 West, Madison, AL, 35758, US"
284,Big Bacon Classic®,6.39,650,"7782 Highway 72 West, Madison, AL, 35758, US"
285,Big Bacon Classic® Double,7.39,910,"7782 Highway 72 West, Madison, AL, 35758, US"
286,Big Bacon Classic Triple,8.39,"1,220","7782 Highway 72 West, Madison, AL, 35758, US"
287,Bacon Double Stack,3.69,440,"7782 Highway 72 West, Madison, AL, 35758, US"
