,menu_item,price,calories,address
0,Pretzel Baconator®,8.99,"1,050","371 S Greeno Road, Fairhope, AL, 36532, US"
1,Loaded Nacho Single Cheeseburger,6.29,710,"371 S Greeno Road, Fairhope, AL, 36532, US"
2,Loaded Nacho Double Cheeseburger,7.59,980,"371 S Greeno Road, Fairhope, AL, 36532, US"
3,Loaded Nacho Triple Cheeseburger,8.89,"1,280","371 S Greeno Road, Fairhope, AL, 36532, US"
4,Dave's Single®,5.39,590,"371 S Greeno Road, Fairhope, AL, 36532, US"
5,Dave's Double®,6.69,860,"371 S Greeno Road, Fairhope, AL, 36532, US"
6,Dave's Triple®,7.99,"1,160","371 S Greeno Road, Fairhope, AL, 36532, US"
7,Baconator®,7.99,960,"371 S Greeno Road, Fairhope, AL, 36532, US"
8,Son of Baconator®,5.69,630,"371 S Greeno Road, Fairhope, AL, 36532, US"
9,Big Bacon Classic®,6.59,650,"371 S Greeno Road, Fairhope, AL, 36532, US"
10,Big Bacon Classic® Double,7.79,920,"371 S Greeno Road, Fairhope, AL, 36532, US"
11,Big Bacon Classic Triple,8.99,"1,220","371 S Greeno Road, Fairhope, AL, 36532, US"
12,Bacon Double Stack,4.19,440,"371 S Greeno Road, Fairhope, AL, 36532, US"
13,Jr. Bacon Cheeseburger,3.59,370,"371 S Greeno Road, Fairhope, AL, 36532, US"
14,Jr. Cheeseburger Deluxe,2.59,350,"371 S Greeno Road, Fairhope, AL, 36532, US"
15,Jr. Cheeseburger,2.39,290,"371 S Greeno Road, Fairhope, AL, 36532, US"
16,Double Stack™,3.59,410,"371 S Greeno Road, Fairhope, AL, 36532, US"
17,Jr. Hamburger,2.19,250,"371 S Greeno Road, Fairhope, AL, 36532, US"
18,French Fries,1.19-3.39,210-470,"371 S Greeno Road, Fairhope, AL, 36532, US"
19,Queso Fries,3.29,390,"371 S Greeno Road, Fairhope, AL, 36532, US"
20,Baconator Fries,3.59,460,"371 S Greeno Road, Fairhope, AL, 36532, US"
21,Chili Cheese Fries,3.59,520,"371 S Greeno Road, Fairhope, AL, 36532, US"
22,Cheese Fries,3.29,470,"371 S Greeno Road, Fairhope, AL, 36532, US"
23,Chili,2.79/3.59,240/340,"371 S Greeno Road, Fairhope, AL, 36532, US"
24,Sour Cream and Chive Baked Potato,2.69,310,"371 S Greeno Road, Fairhope, AL, 36532, US"
25,Plain Baked Potato,2.49,270,"371 S Greeno Road, Fairhope, AL, 36532, US"
26,Bacon Cheese Baked Potato,3.99,440,"371 S Greeno Road, Fairhope, AL, 36532, US"
27,Chili & Cheese Baked Potato,3.99,500,"371 S Greeno Road, Fairhope, AL, 36532, US"
28,Cheese Baked Potato,3.49,450,"371 S Greeno Road, Fairhope, AL, 36532, US"
29,Apple Bites,0.99,35,"371 S Greeno Road, Fairhope, AL, 36532, US"
30,6 PC. Crispy Chicken Nuggets,3.19,270,"371 S Greeno Road, Fairhope, AL, 36532, US"
31,4 PC. Crispy Chicken Nuggets,2.39,180,"371 S Greeno Road, Fairhope, AL, 36532, US"
32,6 PC. Spicy Chicken Nuggets,3.19,280,"371 S Greeno Road, Fairhope, AL, 36532, US"
33,4 PC. Spicy Chicken Nuggets,2.39,190,"371 S Greeno Road, Fairhope, AL, 36532, US"
34,Pretzel Baconator®,8.99,"1,050","30500 State Hwy 181, Spanish Fort, AL, 36527, US"
35,Loaded Nacho Single Cheeseburger,6.29,710,"30500 State Hwy 181, Spanish Fort, AL, 36527, US"
36,Loaded Nacho Double Cheeseburger,7.59,980,"30500 State Hwy 181, Spanish Fort, AL, 36527, US"
37,Loaded Nacho Triple Cheeseburger,8.89,"1,280","30500 State Hwy 181, Spanish Fort, AL, 36527, US"
38,Dave's Single®,5.39,590,"30500 State Hwy 181, Spanish Fort, AL, 36527, US"
39,Dave's Double®,6.69,860,"30500 State Hwy 181, Spanish Fort, AL, 36527, US"
40,Dave's Triple®,7.99,"1,160","30500 State Hwy 181, Spanish Fort, AL, 36527, US"
41,Baconator®,7.99,960,"30500 State Hwy 181, Spanish Fort, AL, 36527, US"
