,menu_item,price,calories,address
65,Son of Baconator®,5.69,630,"3957 Cottage Hill Road, Mobile, AL, 36693, US"
66,Big Bacon Classic®,6.59,650,"3957 Cottage Hill Road, Mobile, AL, 36693, US"
67,Big Bacon Classic® Double,7.79,920,"3957 Cottage Hill Road, Mobile, AL, 36693, US"
68,Big Bacon Classic Triple,8.99,"1,220","3957 Cottage Hill Road, Mobile, AL, 36693, US"
69,Bacon Double Stack,4.19,440,"3957 Cottage Hill Road, Mobile, AL, 36693, US"
70,Jr. Bacon Cheeseburger,3.59,370,"3957 Cottage Hill Road, Mobile, AL, 36693, US"
71,Jr. Cheeseburger Deluxe,2.59,350,"3957 Cottage Hill Road, Mobile, AL, 36693, US"
72,Jr. Cheeseburger,2.39,290,"3957 Cottage Hill Road, Mobile, AL, 36693, US"
73,Double Stack™,3.59,410,"3957 Cottage Hill Road, Mobile, AL, 36693, US"
74,Jr. Hamburger,2.19,250,"3957 Cottage Hill Road, Mobile, AL, 36693, US"
75,French Fries,1.19-3.39,210-470,"3957 Cottage Hill Road, Mobile, AL, 36693, US"
76,Baconator Fries,3.59,460,"3957 Cottage Hill Road, Mobile, AL, 36693, US"
77,Chili Cheese Fries,3.59,520,"3957 Cottage Hill Road, Mobile, AL, 36693, US"
78,Cheese Fries,3.29,470,"3957 Cottage Hill Road, Mobile, AL, 36693, US"
79,Chili,2.79/3.59,240/340,"3957 Cottage Hill Road, Mobile, AL, 36693, US"
80,Sour Cream and Chive Baked Potato,2.69,310,"3957 Cottage Hill Road, Mobile, AL, 36693, US"
81,Plain Baked Potato,2.49,270,"3957 Cottage Hill Road, Mobile, AL, 36693, US"
82,Bacon Cheese Baked Potato,3.99,440,"3957 Cottage Hill Road, Mobile, AL, 36693, US"
83,Chili & Cheese Baked Potato,3.99,500,"3957 Cottage Hill Road, Mobile, AL, 36693, US"
84,Cheese Baked Potato,3.49,450,"3957 Cottage Hill Road, Mobile, AL, 36693, US"
85,Apple Bites,0.99,35,"3957 Cottage Hill Road, Mobile, AL, 36693, US"
86,6 PC. Crispy Chicken Nuggets,3.19,270,"3957 Cottage Hill Road, Mobile, AL, 36693, US"
87,4 PC. Crispy Chicken Nuggets,2.39,180,"3957 Cottage Hill Road, Mobile, AL, 36693, US"
88,6 PC. Spicy Chicken Nuggets,3.19,280,"3957 Cottage Hill Road, Mobile, AL, 36693, US"
89,4 PC. Spicy Chicken Nuggets,2.39,190,"3957 Cottage Hill Road, Mobile, AL, 36693, US"
90,Pretzel Baconator®,8.99,"1,050","2727 Highway 280, Birmingham, AL, 35223, US"
91,Dave's Single®,6.19,590,"2727 Highway 280, Birmingham, AL, 35223, US"
92,Dave's Double®,7.19,860,"2727 Highway 280, Birmingham, AL, 35223, US"
93,Dave's Triple®,8.19,"1,160","2727 Highway 280, Birmingham, AL, 35223, US"
94,Baconator®,7.99,960,"2727 Highway 280, Birmingham, AL, 35223, US"
95,Son of Baconator®,5.99,630,"2727 Highway 280, Birmingham, AL, 35223, US"
96,Big Bacon Classic®,6.69,650,"2727 Highway 280, Birmingham, AL, 35223, US"
97,Big Bacon Classic® Double,7.69,910,"2727 Highway 280, Birmingham, AL, 35223, US"
98,Big Bacon Classic Triple,8.69,"1,220","2727 Highway 280, Birmingham, AL, 35223, US"
99,Bacon Double Stack,4.39,440,"2727 Highway 280, Birmingham, AL, 35223, US"
100,Jr. Bacon Cheeseburger,2.99,370,"2727 Highway 280, Birmingham, AL, 35223, US"
101,Jr. Cheeseburger Deluxe,2.99,340,"2727 Highway 280, Birmingham, AL, 35223, US"
102,Jr. Cheeseburger,2.59,290,"2727 Highway 280, Birmingham, AL, 35223, US"
103,Double Stack™,3.99,410,"2727 Highway 280, Birmingham, AL, 35223, US"
104,Jr. Hamburger,1.99,250,"2727 Highway 280, Birmingham, AL, 35223, US"
105,French Fries,1.99-3.59,210-470,"2727 Highway 280, Birmingham, AL, 35223, US"
106,Baconator Fries,3.99,460,"2727 Highway 280, Birmingham, AL, 35223, US"
107,Chili Cheese Fries,3.99,520,"2727 Highway 280, Birmingham, AL, 35223, US"
108,Cheese Fries,2.99,470,"2727 Highway 280, Birmingham, AL, 35223, US"
