,restaurant_name,restaurant_location,menu_item_price mean_non_zero,menu_item_price median_non_zero,menu_item_price std_non_zero,restaurant_rating mean,menu_item count,number_of_ratings first,specialty_item,combo,cheeseburger,hamburger,fries,restaurant_rating first,state,zip,county_name
674,Wendy,"2800 s memorial pkwy, huntsville, al, 35801, us",5.2311764705882355,4.5,2.891295012829212,,85,270+,7.06,0.0,2.43,1.94,0.0,4.0,al,35801,Madison
675,Burger King,"1004 north memorial parkway, huntsville, al, 35801, us",4.538644067796611,3.59,2.0962011302346464,4.5,99,170+,7.07,0.0,2.75,4.49,3.47,,al,35801,Madison
676,Burger King,"2116 whitesburg drive, huntsville, al, 35801, us",7.290749999999996,5.6899999999999995,5.969736756130876,4.1,80,170+,6.89,12.79,2.49,3.69,3.69,,al,35801,Madison
677,Five Guys,"1221 memorial pkwy nw, huntsville, al, 35801, us",6.80103448275862,6.59,3.078770852845041,4.7,29,1,11.39,,8.87,8.27,5.99,,al,35801,Madison
678,McDonald,"2725 n meridian blvd, wyomissing, pa, 19610, us",7.517557251908391,4.79,6.916584018935721,4.5,151,140+,7.69,12.59,3.89,3.69,5.19,,pa,19610,Berks
679,Wendy,"1197 berkshire blvd, reading, pa, 19610, us",7.565443037974681,5.39,6.0239153753424315,,79,1,,3.49,,,,4.3,pa,19610,Berks
680,Burger King,"1197 berkshire blvd, reading, pa, 19610, us",7.565443037974681,5.39,6.0239153753424315,4.3,79,1,6.99,12.19,2.99,3.99,3.49,,pa,19610,Berks
681,McDonald,"2730 perkiomen ave, saint lawrence, pa, 19606, us",7.563153846153851,4.79,6.9668790092966,4.3,151,500+,7.69,12.79,3.89,3.69,5.19,,pa,19606,Berks
682,Burger King,"4890 perkiomen avenue, reading, pa, 19606, us",7.565443037974681,5.39,6.0239153753424315,4.2,79,380+,6.99,12.19,2.99,3.99,3.49,,pa,19606,Berks
683,Sonic,"4515 perkiomen avenue, reading, pa, 19606, us",5.4316216216216215,4.26,3.2657142040042646,4.2,87,220+,9.5,0.0,4.26,,0.0,,pa,19606,Berks
684,Five Guys,"4619 perkiomen ave., reading, pa, 19606, us",8.495599999999998,8.03,3.504216979583313,4.6,25,420+,13.91,,11.27,9.71,7.19,,pa,19606,Berks
685,McDonald,"2733 e washington ave, madison, wi, 53704, us",5.992314049586785,5.19,4.253158624074364,4.5,137,1,6.99,12.59,2.69,2.49,4.99,,wi,53704,Dane
686,McDonald,"2901 dryden dr, madison, wi, 53704, us",6.117948717948725,5.19,4.272061600931854,4.0,133,410+,6.99,12.59,2.69,2.39,4.99,,wi,53704,Dane
687,Wendy,"3910 washington ave, madison, wi, 53704, us",5.976923076923077,4.93,3.4902113328463362,,85,260+,7.31,0.0,2.67,2.43,0.0,4.5,wi,53704,Dane
688,Burger King,"2655 east washington avenue, madison, wi, 53704, us",8.411702127659577,6.8149999999999995,6.069693749205507,4.3,94,1,8.95,15.59,3.11,5.18,4.67,,wi,53704,Dane
689,Five Guys,"2253 zeier rd, madison, wi, 53704, us",8.427241379310347,8.27,3.3523217857969922,4.6,29,600+,13.67,,11.03,9.83,7.31,,wi,53704,Dane
690,McDonald,"2745 freedom dr, charlotte, nc, 28208, us",5.498593750000005,3.79,4.1256822796309605,4.1,153,2,6.29,11.29,2.79,2.49,3.49,,nc,28208,Mecklenburg
691,McDonald,"2820 boyer st, charlotte, nc, 28208, us",6.4084615384615455,4.39,5.45359182438347,4.2,150,2,6.39,12.69,2.89,2.19,3.79,,nc,28208,Mecklenburg
692,Wendy,"2801 boyer street, charlotte, nc, 28208, us",5.033725490196078,4.26,2.696617315128754,,86,900+,6.45,0.0,2.43,2.06,0.0,3.9,nc,28208,Mecklenburg
693,McDonald,"2772 chamblee tucker road, doraville, ga, 30341, us",5.765909090909092,4.29,4.575197123513724,4.4,146,600+,6.59,11.99,2.49,2.39,3.79,,ga,30341,DeKalb
694,McDonald,"3396, chamblee, ga, 30341, us",5.703538461538461,4.49,4.4290177521117124,4.5,138,900+,6.49,11.29,2.79,2.39,3.99,,ga,30341,DeKalb
695,Wendy,"2159 savoy drive, chamblee, ga, 30341, us",5.417647058823534,4.5,2.8898277228217926,,176,700+,6.94,0.0,2.43,2.18,0.0,4.2,ga,30341,DeKalb
696,Five Guys,"5126 peachtree industrial blvd., chamblee, ga, 30341, us",8.46448275862069,8.51,3.3238071090210086,4.6,29,2,13.67,,10.67,9.35,7.55,,ga,30341,DeKalb
697,McDonald,"2791 panola rd, lithonia, ga, 30035, us",6.173333333333336,4.14,5.639548839323154,3.9000000000000004,144,1,6.82,10.6,2.59,2.49,3.39,,ga,30035,DeKalb
698,Burger King,"2807 panola road, lithonia, ga, 30035, us",7.398354430379749,5.79,6.022339515625776,3.5,79,1,7.19,13.09,2.49,3.79,3.69,,ga,30035,DeKalb
699,McDonald,"2801 old wake forest rd, raleigh, nc, 27609, us",6.232148760330584,4.39,4.601751949275812,4.3,143,1,6.36,11.17,2.98,2.46,4.28,,nc,27609,Wake
700,Wendy,"4105 wake forest road, raleigh, nc, 27609, us",5.333600000000001,4.5,2.6023057160910206,,85,440+,6.33,0.0,2.79,2.43,0.0,4.3,nc,27609,Wake
701,Burger King,"4203 wake forest road, raleigh, nc, 27609, us",7.8576404494382075,6.59,5.837554902654871,4.3,178,470+,7.39,13.19,2.59,4.49,3.69,,nc,27609,Wake
702,Five Guys,"4120 main at north hills st, raleigh, nc, 27609, us",7.622068965517242,7.18,3.2845682856092315,4.7,29,2,12.74,,9.37,8.05,7.18,,nc,27609,Wake
703,McDonald,"2801 w nolana ave, mcallen, tx, 78504, us",4.688682170542638,3.39,3.88189364399973,4.7,144,800+,5.29,8.09,1.99,1.69,3.19,,tx,78504,Hidalgo
704,Jack in the Box,"151 west nolana street, mcallen, tx, 78504, us",7.072857142857147,6.24,3.4529363556958663,4.4,161,210+,5.36,10.23,3.36,2.99,4.36,,tx,78504,Hidalgo
705,Jack in the Box,"2900 west nolana loop, mcallen, tx, 78504, us",7.072857142857147,6.24,3.452936355695866,4.5,161,150+,5.36,10.23,3.36,2.99,4.36,,tx,78504,Hidalgo
706,Wendy,"2716 nolana street, mcallen, tx, 78504, us",5.097358490566034,4.5,2.8155653280944364,,352,240+,7.06,0.0,2.31,1.94,0.0,4.6,tx,78504,Hidalgo
707,McDonald,"2811 gateway w, el paso, tx, 79903, us",5.412698412698412,4.29,4.149367596240136,4.6,141,2,5.49,9.49,3.39,2.99,3.49,,tx,79903,El Paso
708,Jack in the Box,"5350 montana ave, el paso, tx, 79903, us",7.345405405405407,6.8149999999999995,3.3052303714899263,4.5,148,1,5.84,10.37,3.5,2.98,4.28,,tx,79903,El Paso
709,Burger King,"2809 gateway west, el paso, tx, 79903, us",7.880638297872344,6.77,5.8437645998926735,4.6,94,500+,7.03,12.53,3.06,3.83,3.7,,tx,79903,El Paso
710,McDonald,"2815 business center dr, pearland, tx, 77584, us",4.965802469135806,3.79,3.916746948753523,4.4,271,2,5.31,9.23,1.62,1.42,2.99,,tx,77584,Brazoria
711,Five Guys,"10645 broadway st., suite #120, pearland, tx, 77584, us",8.516785714285716,8.925,3.207797479325549,4.6,28,1,13.45,,10.51,9.17,7.33,,tx,77584,Brazoria
712,McDonald,"2818 magnolia ave, knoxville, tn, 37914, us",5.397142857142863,4.29,4.070477694587149,4.0,146,500+,6.19,9.79,3.19,2.49,3.69,,tn,37914,Knox
713,McDonald,"2826 evans mill rd, stonecrest, ga, 30058, us",5.884436090225568,4.29,5.144137829152133,4.0,151,1,6.0,10.59,2.63,1.86,2.99,,ga,30058,DeKalb
714,Wendy,"6156 covington hwy., lithonia, ga, 30058, us",5.8134615384615405,4.93,3.029616556478714,,88,1,6.94,0.0,2.92,2.43,0.0,4.0,ga,30058,DeKalb
715,Burger King,"2773 evans mill rd, lithonia, ga, 30058, us",7.7241666666666635,5.99,6.17507146832236,4.2,72,1,6.59,11.79,2.79,3.89,3.39,,ga,30058,DeKalb
716,Sonic,"6689 covington hwy, lithonia, ga, 30058, us",4.125578947368418,3.83,1.4761576836250276,4.0,234,1,6.95,0.0,3.95,,0.0,,ga,30058,DeKalb
717,McDonald,"2845 fish hatchery rd, fitchburg, wi, 53713, us",5.979090909090915,5.19,4.255829837212218,4.3,137,600+,7.19,12.59,2.69,2.49,4.69,,wi,53713,Dane
718,Wendy,"2858 fish hatchery road, fitchburg, wi, 53713, us",5.976923076923077,4.93,3.4902113328463362,,85,700+,7.31,0.0,2.67,2.43,0.0,4.4,wi,53713,Dane
719,Burger King,"719 w. badger road, madison, wi, 53713, us",8.480687830687838,6.49,6.084418390112288,4.6,189,1,9.22,15.85,3.89,5.31,4.41,,wi,53713,Dane
720,McDonald,"2856 south claiborne, new orleans, la, 70125, us",7.651550387596894,4.96,7.52676654683549,4.3,143,7,6.49,13.34,2.87,1.99,4.19,,la,70125,Orleans
721,Burger King,"2713 south claiborne st, new orleans, la, 70125, us",7.455316455696204,5.39,6.0016680878373005,4.2,158,1,6.59,11.79,2.79,3.89,3.39,,la,70125,Orleans
722,McDonald,"29 &amp; grays ferry ave, philadelphia, pa, 19146, us",7.211515151515159,4.39,6.628617535473642,4.2,153,10,7.49,11.99,3.49,3.49,3.99,,pa,19146,Philadelphia
723,McDonald,"2901 s may ave, oklahoma city, ok, 73108, us",5.1825,3.89,3.7971296725289743,4.2,135,1,5.89,9.89,2.79,2.39,3.29,,ok,73108,Oklahoma
724,McDonald,"2911 two notch rd, columbia, sc, 29204, us",5.586393442622952,4.07,4.1199795211916985,4.0,139,700+,6.55,11.06,2.75,2.42,3.99,,sc,29204,Richland
725,Burger King,"2902 two notch road, columbia, sc, 29204, us",8.053124999999998,6.44,6.078453461561994,3.8,80,450+,7.81,13.79,3.59,4.26,3.76,,sc,29204,Richland
726,McDonald,"29138 highway 98, daphne, al, 36526, us",5.69229508196722,3.99,3.8525232921041943,4.2,144,270+,6.09,10.49,2.99,2.49,3.89,,al,36526,Baldwin
727,Burger King,"29295 highway 98, daphne, al, 36526, us",7.455316455696204,5.39,6.001668087837301,4.2,158,150+,6.59,11.79,2.79,3.89,3.39,,al,36526,Baldwin
728,Sonic,"1711 u.s. 98, daphne, al, 36526, us",5.339736842105263,4.5600000000000005,3.1435736342426943,3.7,87,110+,9.38,0.0,4.38,,0.0,,al,36526,Baldwin
729,Five Guys,"6860 highway 90, daphne, al, 36526, us",7.5744827586206895,7.38,2.6981214233647774,4.7,29,600+,11.82,,9.42,8.58,7.02,,al,36526,Baldwin
730,McDonald,"2922 blanco rd, san antonio, tx, 78212-1813, us",6.390074626865674,4.69,5.306513949189084,4.4,155,1,5.39,10.69,2.89,2.39,3.79,,tx,78212,Bexar
731,McDonald,"721 san pedro ave, san antonio, tx, 78212, us",6.642671755725193,4.69,5.308589154937477,4.4,152,1,5.39,10.69,2.79,2.39,3.79,,tx,78212,Bexar
732,McDonald,"2950 holcomb bridge rd, alpharetta, ga, 30022, us",5.849752066115706,4.39,3.698077334451871,4.5,142,1,6.79,10.99,3.19,2.89,4.19,,ga,30022,Fulton
733,Burger King,"2310 mansell road, alpharetta, ga, 30022, us",8.266486486486485,6.890000000000001,6.322339934693276,4.3,74,700+,7.59,13.49,3.09,4.49,4.09,,ga,30022,Fulton
734,Burger King,"5025 abbotts bridge road, alpharetta, ga, 30022, us",7.628133333333332,5.99,6.105140499247788,4.4,75,340+,6.59,11.79,2.79,3.89,3.39,,ga,30022,Fulton
735,Five Guys,"2622 holcomb bridge road suite 100, alpharetta, ga, 30022, us",8.46448275862069,8.51,3.3238071090210086,4.9,29,12,13.67,,10.67,9.35,7.55,,ga,30022,Fulton
736,Five Guys,"7300 north point pkwy, alpharetta, ga, 30022, us",8.290689655172415,8.39,3.3150793728828996,4.7,29,2,13.43,,10.55,9.35,7.43,,ga,30022,Fulton
737,McDonald,"2964 turner hill rd, lithonia, ga, 30038, us",6.199104477611941,4.12,5.43435938125248,4.0,152,800+,7.01,11.18,2.77,2.55,3.72,,ga,30038,DeKalb
738,Wendy,"3015 panola road, lithonia, ga, 30038, us",5.81867924528302,4.99,3.0011350291438323,,87,1,6.94,0.0,2.92,2.43,0.0,3.8,ga,30038,DeKalb
739,McDonald,"2981 fm 1460, georgetown, tx, 78626, us",5.143852459016392,3.74,3.9959948076570146,4.5,136,120+,5.79,10.19,1.99,2.09,3.19,,tx,78626,Williamson
740,McDonald,"806 n austin ave, georgetown, tx, 78626, us",5.376335877862596,3.89,3.72460730162365,4.6,153,2,5.89,9.79,2.39,1.79,2.89,,tx,78626,Williamson
741,Jack in the Box,"710 w university ave, georgetown, tx, 78626, us",8.584805194805195,7.86,4.048827667551615,4.1,154,270+,6.24,12.35,4.11,3.74,5.36,,tx,78626,Williamson
742,Burger King,"100 river oaks cove, georgetown, tx, 78626, us",7.673037974683547,6.59,5.985244378000009,4.3,79,340+,7.39,12.19,2.69,3.59,3.39,,tx,78626,Williamson
743,McDonald,"2998 macarthur road, whitehall, pa, 18052, us",6.056691729323311,3.99,5.7482244034299175,4.5,148,500+,7.19,12.29,3.39,3.29,4.69,,pa,18052,Lehigh
744,Wendy,"2545 mickley ave, whitehall, pa, 18052, us",5.280961538461536,4.6850000000000005,2.635913401471902,,258,490+,6.7,0.0,2.92,2.43,0.0,3.9,pa,18052,Lehigh
745,Shake Shack,"1457 macarthur road, whitehall, pa, 18052, us",18.500204081632653,7.19,30.90187396007021,4.7,50,1,8.39,,8.19,7.89,5.19,,pa,18052,Lehigh
746,Burger King,"1600 macarthur road, fullerton, pa, 18052, us",7.565443037974681,5.39,6.0239153753424315,4.1,79,700+,6.99,12.19,2.99,3.99,3.49,,pa,18052,Lehigh
747,Five Guys,"2401-2419 macarthur rd., whitehall, pa, 18052, us",8.947142857142854,9.23,3.387167861569452,4.0,28,80,13.91,,11.27,9.71,7.19,,pa,18052,Lehigh
748,McDonald,"300 n moorland rd, brookfield, wi, 53005, us",5.871463414634152,5.19,4.137764347250451,4.6,139,340+,6.99,12.59,2.99,2.89,4.79,,wi,53005,Waukesha
