,restaurant_name,restaurant_location,menu_item_price mean_non_zero,menu_item_price median_non_zero,menu_item_price std_non_zero,restaurant_rating mean,menu_item count,number_of_ratings first,specialty_item,combo,cheeseburger,hamburger,fries,restaurant_rating first,state,zip,county_name,date,uber_eats,post_policy,fast_food,local
644,Burger King,"4571 north pershing avenue, stockton, ca, 95207, us",5.317264150943397,4.54,2.6602002098788318,4.352808988764045,178,230+,9.18,0.0,3.24,4.83,4.8,,ca,95207,San Joaquin,2024-05-14,1,1,1,0
645,Five Guys,"5633 pacific ave, stockton, ca, 95207, us",9.908620689655173,10.07,3.7072675355659985,4.7,29,440+,15.47,,12.47,11.15,8.75,,ca,95207,San Joaquin,2024-05-14,1,1,1,0
646,McDonald,"4550 clayton rd, concord, ca, 94521-2850, us",7.2545669291338575,5.29,5.383534646019337,4.4,153,1,6.89,12.79,3.79,3.59,4.79,,ca,94521,Contra Costa,2024-05-14,1,1,1,0
647,Jack in the Box,"4740 clayton rd, concord, ca, 94521, us",8.970592105263137,8.3,4.284756676987655,4.6,304,500+,7.49,13.73,4.24,3.74,4.99,,ca,94521,Contra Costa,2024-05-14,1,1,1,0
648,Burger King,"4320 clayton road, concord, ca, 94521, us",9.802210526315802,8.09,6.226509908439011,4.7,95,130+,10.09,17.79,4.29,5.69,5.49,,ca,94521,Contra Costa,2024-05-14,1,1,1,0
649,Burger King,"5400 ygnacio valley road, concord, ca, 94521, us",9.953789473684221,8.09,6.299858842018835,4.6,95,165,10.69,18.29,4.79,6.19,5.49,,ca,94521,Contra Costa,2024-05-14,1,1,1,0
650,Five Guys,"5442 ygnacio valley rd., concord, ca, 94521, us",8.832758620689658,9.59,3.600290119106519,4.8,29,500+,14.39,,11.39,10.19,7.55,,ca,94521,Contra Costa,2024-05-14,1,1,1,0
651,McDonald,"4898 e kings canyon rd, fresno, ca, 93727, us",5.703037037037039,4.19,4.202811805529996,4.2,156,700+,5.89,9.79,3.49,2.69,4.39,,ca,93727,Fresno,2024-05-14,1,1,1,0
652,Jack in the Box,"1167 n clovis ave, fresno, ca, 93727, us",9.161184210526313,7.800000000000001,5.1270505441097365,4.3,152,450+,13.35,,4.99,6.61,,,ca,93727,Fresno,2024-05-14,1,1,1,0
653,Jack in the Box,"4968 e kings canyon rd, fresno, ca, 93727, us",8.087088607594906,6.86,4.179432991613718,4.2,395,600+,6.61,13.35,3.74,3.36,4.99,,ca,93727,Fresno,2024-05-14,1,1,1,0
654,Wendy,"765 south clovis avenue, fresno, ca, 93727, us",7.149615384615386,5.615,4.428525089401169,,89,350+,8.77,0.0,3.77,3.4,0.0,4.3,ca,93727,Fresno,2024-05-14,1,1,1,0
655,Burger King,"575 north clovis avenue, fresno, ca, 93727, us",9.690631578947379,8.09,6.228382878831275,4.3,95,140+,9.99,17.69,4.19,5.49,5.49,,ca,93727,Fresno,2024-05-14,1,1,1,0
656,Carls Jr,"5007 e mckinley ave, fresno, ca, 93727, us",8.736886792452834,7.17,4.239963590802991,4.6,174,78,9.89,0.0,6.39,,5.19,,ca,93727,Fresno,2024-05-14,1,1,1,0
657,McDonald,"5200 sonoma blvd, vallejo, ca, 94589, us",7.2076190476190485,5.29,5.444247791348722,4.5,151,800+,6.89,12.79,3.79,3.59,4.79,,ca,94589,Solano,2024-05-14,1,1,1,0
658,Jack in the Box,"1610 lewis brown dr, vallejo, ca, 94589, us",8.639530201342284,8.11,4.1322627071983975,4.4,149,500+,6.24,12.85,4.24,3.74,5.11,,ca,94589,Solano,2024-05-14,1,1,1,0
659,Carls Jr,"3897 sonoma blvd, vallejo, ca, 94589, us",9.987349397590364,9.95,4.610894925115018,4.5,89,230+,8.05,13.45,6.0,,4.55,,ca,94589,Solano,2024-05-14,1,1,1,0
660,McDonald,"522 el camino real, belmont, ca, 94002-2121, us",5.642919708029198,4.29,4.548069480653574,4.6,152,1,7.39,12.39,3.49,3.29,4.47,,ca,94002,San Mateo,2024-05-14,1,1,1,0
661,Wendy,"698 ralston avenue, belmont, ca, 94002, us",6.480799999999999,5.779999999999999,3.0519061846655773,,82,900+,9.38,0.0,3.4,2.67,0.0,4.6,ca,94002,San Mateo,2024-05-14,1,1,1,0
662,McDonald,"5425 arlington avenue, riverside, ca, 92504, us",7.964873949579838,5.42,5.683909748239153,4.4,145,1,9.07,17.5,5.27,4.09,5.74,,ca,92504,Riverside,2024-05-14,1,1,1,0
663,McDonald,"7474 indiana street, riverside, ca, 92504, us",7.950813008130086,5.42,5.752054930577735,4.4,148,700+,9.07,17.5,5.27,4.09,5.74,,ca,92504,Riverside,2024-05-14,1,1,1,0
