,restaurant_name,restaurant_location,menu_item_price mean_non_zero,menu_item_price median_non_zero,menu_item_price std_non_zero,restaurant_rating mean,menu_item count,number_of_ratings first,burger,fries,combo,specialty_item,cheeseburger,hamburger,state,zip,county_name,date,uber_eats,post_policy,fast_food,local
0,Barney's Gourmet Hamburgers,"1591 solano ave, berkeley, ca, 94707, us",15.821410256410267,17.55,5.649603735674848,4.6,312,53,17.55,4.95,,,,,ca,94707,Alameda,2024-03-26,1,0,1,1
1,Barney's Gourmet Hamburgers,"1600 shattuck ave, berkeley, ca, 94709, us",15.829125000000035,17.55,5.529475380574091,4.9,400,26,17.55,4.95,,,,,ca,94709,Alameda,2024-03-26,1,0,1,1
2,Barney's Gourmet Hamburgers,"4138 24th st, san francisco, ca, 94114, us",15.836597938144308,17.75,5.1766999571728824,4.8,291,87,16.95,6.5,,,,,ca,94114,San Francisco,2024-03-26,1,0,1,1
3,Barney's Gourmet Hamburgers,"4162 piedmont ave, oakland, ca, 94611, us",14.100235294117612,15.35,4.682774938122406,4.6,510,65,15.35,4.68,,,,,ca,94611,Alameda,2024-03-26,1,0,1,1
4,Barney's Gourmet Hamburgers,"5819 college ave, oakland, ca, 94618, us",13.941975308641934,15.35,4.6317027292594934,4.8,486,19,15.35,4.68,,,,,ca,94618,Alameda,2024-03-26,1,0,1,1
5,Burger Lounge,"11740 san vincente blvd, los angeles, ca, 90049, us",9.774736842105266,9.54,5.5938908109143615,4.6,59,122,,4.74,,,11.94,,ca,90049,Los Angeles,2024-03-26,1,0,1,1
6,Burger Lounge,"1198, roseville, ca, 95678, us",10.24119402985074,9.54,5.382421228014888,4.4,276,14,,4.74,,,11.94,,ca,95678,Placer,2024-03-26,1,0,1,1
7,Burger Lounge,"13455 maxella ave, marina del rey, ca, 90292, us",9.505846153846159,9.54,4.2511301275010105,4.7,134,112,,4.74,,,11.94,,ca,90292,Los Angeles,2024-03-26,1,0,1,1
8,Burger Lounge,"1608 india st, san diego, ca, 92101, us",9.97114285714286,9.54,5.118915773274414,4.6,216,100+,,4.74,,,11.94,,ca,92101,San Diego,2024-03-26,1,0,1,1
9,Burger Lounge,"16490 paseo del sur, san diego, ca, 92127, us",9.919714285714292,9.54,5.116960585411328,4.7,72,61,,4.74,,,11.94,,ca,92127,San Diego,2024-03-26,1,0,1,1
