,restaurant_name,restaurant_location,menu_item_price mean_non_zero,menu_item_price median_non_zero,menu_item_price std_non_zero,restaurant_rating mean,menu_item count,number_of_ratings first,fries,cheeseburger,hamburger,combo,specialty_item,state,zip,county_name,date,uber_eats,post_policy,fast_food,local
0,Outback Steakhouse,"100 buckwalter parkway, bluffton, sc, 29910, us",19.0802,14.99,13.627204847656763,4.2,102,1,4.99,10.49,14.99,,,sc,29910,Beaufort,2024-05-16,1,1,0,0
1,Buffalo Wild Wings,"21, bluffton, sc, 29910, us",7.50968085106384,5.640000000000001,8.94035560863114,4.3,103,800+,4.79,13.29,,,,sc,29910,Beaufort,2024-05-16,1,1,0,0
2,Outback Steakhouse,"100 n pointe blvd, lancaster, pa, 17601, us",16.931309523809528,12.79,12.506728168294998,4.2,86,800+,4.99,10.49,14.99,,,pa,17601,Lancaster,2024-05-16,1,1,0,0
3,Buffalo Wild Wings,"2065 fruitville pike, lancaster, pa, 17601, us",7.850099009900998,6.99,8.932968140107587,4.3,110,900+,4.79,13.99,,,,pa,17601,Lancaster,2024-05-16,1,1,0,0
4,Outback Steakhouse,"10001 westheimer road # 1010, houston, tx, 77042, us",18.213061224489795,13.585,13.213503560494104,4.6,100,4,4.99,10.49,14.99,,,tx,77042,Harris,2024-05-16,1,1,0,0
5,Outback Steakhouse,"10901 university avenue, clive, ia, 50325, us",18.074242424242424,13.18,13.527068268521102,4.4,101,1,4.99,10.49,14.99,,,ia,50325,Polk,2024-05-16,1,1,0,0
6,Outback Steakhouse,"1101 woodland road, wyomissing, pa, 19610, us",18.92063829787234,15.49,13.479639872115927,4.3,96,800+,4.99,10.49,14.99,,,pa,19610,Berks,2024-05-16,1,1,0,0
7,Applebee,"1905 ridgewood road, wyomissing, pa, 19610, us",19.165862068965517,15.59,16.482548873286724,4.5,119,1,11.99,15.59,14.99,,,pa,19610,Berks,2024-05-16,1,1,0,0
8,Outback Steakhouse,"1110 n. germantown pkwy., cordova, tn, 38016, us",12.463214285714285,10.79,8.818254019593766,4.3,61,1,4.39,8.79,14.29,,,tn,38016,Shelby,2024-05-16,1,1,0,0
9,Outback Steakhouse,"1118 baltimore pike, springfield, usa, swarthmore, pa, 19064, us",18.81030927835045,14.99,13.62039113034285,4.2,198,4,4.99,10.49,14.99,,,pa,19064,Delaware,2024-05-16,1,1,0,0
