,restaurant_name,restaurant_location,menu_item_price mean_non_zero,menu_item_price median_non_zero,menu_item_price std_non_zero,restaurant_rating mean,menu_item count,number_of_ratings first,fries,cheeseburger,hamburger,combo,specialty_item,state,zip,county_name,date,uber_eats,post_policy,fast_food,local
112,Applebee,"19201 bear valley road, apple valley, ca, 92308, us",25.834262295081942,17.49,26.234800593118855,4.5,123,600+,,16.99,15.39,,,ca,92308,San Bernardino,2024-05-14,1,1,0,0
113,Denny,"18989 bear valley road, apple valley, ca, 92308, us",11.382499999999999,7.63,6.995698589133181,4.5,129,600+,5.81,16.73,,,,ca,92308,San Bernardino,2024-05-14,1,1,0,0
114,Red Robin,"1990 w florida ave, hemet, ca, 92545, us",12.940000000000005,12.49,8.549553958035235,4.5,119,500+,4.79,8.39,,,,ca,92545,Riverside,2024-05-14,1,1,0,0
115,Buffalo Wild Wings,"3575 w stetson ave, hemet, ca, 92545, us",9.142700000000005,7.890000000000001,10.037831922780926,4.1,108,340+,5.99,16.79,,,,ca,92545,Riverside,2024-05-14,1,1,0,0
116,Applebee,"2515 w florida ave, hemet, ca, 92545, us",24.95747967479673,17.49,25.055916315881333,4.3,124,800+,,17.29,15.99,,,ca,92545,Riverside,2024-05-14,1,1,0,0
117,Red Robin,"200 e via rancho pkwy, escondido, ca, 92025, us",12.971666666666666,12.190000000000001,8.619058178762275,4.6,121,800+,4.79,8.39,,,,ca,92025,San Diego,2024-05-14,1,1,0,0
118,Red Robin,"2031 bronze star dr, woodland, ca, 95776, us",12.871512605042021,11.99,8.545999765840175,4.4,120,380+,4.79,8.39,,,,ca,95776,Yolo,2024-05-14,1,1,0,0
119,Applebee,"1790 e. main street, woodland, ca, 95776, us",26.31749999999998,17.89,25.927006391341568,4.4,121,370+,,16.69,15.39,,,ca,95776,Yolo,2024-05-14,1,1,0,0
120,Red Robin,"2199 n, orange, ca, 92865, us",12.588290598290609,11.99,8.451369007657092,4.7,118,1,4.79,8.39,,,,ca,92865,Orange,2024-05-14,1,1,0,0
121,Buffalo Wild Wings,"1500 e village way, orange, ca, 92865, us",9.376060606060612,8.29,10.246961591365148,4.1,106,2,5.99,16.79,,,,ca,92865,Orange,2024-05-14,1,1,0,0
122,Red Robin,"2200 eastridge loop suite 2073, san jose, ca, 95122, us",13.008487394957983,12.39,8.645210131409629,4.4,120,900+,4.79,8.39,,,,ca,95122,Santa Clara,2024-05-14,1,1,0,0
123,Denny,"2401 lanai ave., san jose, ca, 95122, us",12.255555555555558,11.370000000000001,7.572301418025572,4.3,138,600+,6.02,17.56,,,,ca,95122,Santa Clara,2024-05-14,1,1,0,0
124,Red Robin,"2367 claribel rd, riverbank, ca, 95367, us",12.753114754098366,11.99,8.485611745286818,4.3,123,360+,4.79,8.39,,,,ca,95367,Stanislaus,2024-05-14,1,1,0,0
125,Applebee,"2449 claribel road, riverbank, ca, 95367, us",23.91300884955748,19.99,23.31988406310665,4.2,116,450+,,18.79,17.49,,,ca,95367,Stanislaus,2024-05-14,1,1,0,0
