,restaurant_name,restaurant_location,menu_item_price mean_non_zero,menu_item_price median_non_zero,menu_item_price std_non_zero,restaurant_rating mean,menu_item count,number_of_ratings first,cheeseburger,fries,specialty_item,hamburger,combo,state,zip,county_name_x,date,uber_eats,post_policy,fast_food,local,county_name_y
50,Burger King,"2022 bluff road, columbia, sc, 29201, us",5.574800000000003,4.99,3.266551845601108,,50,,2.99,3.29,5.89,3.55,,sc,29201,Richland,2024-05-16,0,1,1,0,Richland
51,Burger King,"205 university avenue, des moines, ia, 50314, us",5.784339622641513,3.99,3.716379608448312,,53,,2.49,3.19,5.99,2.99,,ia,50314,Polk,2024-05-16,0,1,1,0,Polk
52,Burger King,"2100 clearview parkway, metairie, la, 70001, us",5.110370370370372,3.99,3.0342110836035827,,54,,2.29,2.79,5.39,3.19,,la,70001,Jefferson,2024-05-16,0,1,1,0,Jefferson
53,Burger King,"2100 peters creek pkwy, winston salem, nc, 27127, us",5.049649122807017,4.19,2.9365130084532267,,57,,2.19,3.09,5.69,3.59,,nc,27127,Forsyth,2024-05-16,0,1,1,0,Forsyth
54,Burger King,"2122 e. 10th street, indianapolis, in, 46201, us",5.074210526315789,4.19,2.965875479379983,,57,,2.19,3.09,5.69,3.59,,in,46201,Marion,2024-05-16,0,1,1,0,Marion
55,Burger King,"2216 bush river road, columbia, sc, 29210, us",5.574800000000003,4.99,3.266551845601108,,50,,2.99,3.29,5.89,3.55,,sc,29210,Richland,2024-05-16,0,1,1,0,Richland
56,Burger King,"2222 m. l. king jr. parkway, des moines, ia, 50310, us",5.784339622641513,3.99,3.716379608448312,,53,,2.49,3.19,5.99,2.99,,ia,50310,Polk,2024-05-16,0,1,1,0,Polk
57,Burger King,"2241 avent ferry road, raleigh, nc, 27606, us",5.562916666666667,4.34,3.4316383103490886,,48,,2.19,3.09,6.19,3.79,,nc,27606,Wake,2024-05-16,0,1,1,0,Wake
58,Burger King,"2256 ambassador caffrey pkway, lafayette, la, 70506, us",5.110370370370372,3.99,3.0342110836035827,,54,,2.29,2.79,5.39,3.19,,la,70506,Lafayette,2024-05-16,0,1,1,0,Lafayette
59,Burger King,"2328 university ave, green bay, wi, 54302, us",6.273636363636363,4.59,3.9350066945242186,,55,,3.09,3.39,7.29,4.29,,wi,54302,Brown,2024-05-16,0,1,1,0,Brown
60,Burger King,"2414 east expressway 83, mission, tx, 78572, us",5.430740740740743,3.99,3.457869099685877,,54,,1.89,2.79,6.19,2.99,,tx,78572,Hidalgo,2024-05-16,0,1,1,0,Hidalgo
