,restaurant_name,restaurant_location,menu_item_price mean_non_zero,menu_item_price median_non_zero,menu_item_price std_non_zero,restaurant_rating mean,menu_item count,number_of_ratings first,cheeseburger,specialty_item,fries,combo,hamburger,state,zip,county_name,date,uber_eats,post_policy,fast_food,local
32,Carls Jr,"2110 w 7th st, los angeles, ca, 90057, us",8.108235294117648,8.69,2.0181885742187884,,17,,4.99,,,,,ca,90057,Los Angeles,2024-03-29,0,0,1,0
33,Carls Jr,"222 n. euclid ave, fullerton, ca, 92832, us",8.108235294117648,8.69,2.0181885742187884,,17,,4.99,,,,,ca,92832,Orange,2024-03-29,0,0,1,0
34,Carls Jr,"2280 arden way, sacramento, ca, 95825, us",7.903478260869563,8.39,1.6909981839798238,,23,,4.79,6.49,,,,ca,95825,Sacramento,2024-03-29,0,0,1,0
35,Carls Jr,"2301 n, oxnard, ca, 93036, us",6.9275,7.34,1.8664387881738849,,16,,3.39,,,,,ca,93036,Ventura,2024-03-29,0,0,1,0
36,Carls Jr,"2320 e 4th st, los angeles, ca, 90033, us",7.52125,8.04,1.7918979986316186,,16,,4.99,,,,,ca,90033,Los Angeles,2024-03-29,0,0,1,0
37,Carls Jr,"2380 n texas st, fairfield, ca, 94533, us",7.8325000000000005,8.24,1.8693230726656105,,24,,4.99,5.99,,,,ca,94533,Solano,2024-03-29,0,0,1,0
38,Carls Jr,"2400 white ln, bakersfield, ca, 93304, us",8.233913043478259,8.79,1.9898847227490006,,23,,4.79,6.49,,,,ca,93304,Kern,2024-03-29,0,0,1,0
39,Carls Jr,"2434 junipero serra blvd, daly city, ca, 94015, us",8.870588235294115,9.49,3.1638685749982716,,17,,4.7,,,,,ca,94015,San Mateo,2024-03-29,0,0,1,0
40,Carls Jr,"24715 pico canyon rd, stevenson ranch, ca, 91381, us",8.108235294117648,8.69,2.0181885742187884,,17,,4.99,,,,,ca,91381,Los Angeles,2024-03-29,0,0,1,0
41,Carls Jr,"2590 s east ave, fresno, ca, 93706, us",8.329999999999998,8.87,2.9725983880219315,,17,,4.39,,,,,ca,93706,Fresno,2024-03-29,0,0,1,0
42,Carls Jr,"2615 broadway, sacramento, ca, 95818, us",7.903478260869563,8.39,1.6909981839798238,,23,,4.79,6.49,,,,ca,95818,Sacramento,2024-03-29,0,0,1,0
43,Carls Jr,"271 e willow st, long beach, ca, 90806, us",7.52125,8.04,1.7918979986316186,,16,,4.99,,,,,ca,90806,Los Angeles,2024-03-29,0,0,1,0
