,restaurant_name,restaurant_location,menu_item_price mean_non_zero,menu_item_price median_non_zero,menu_item_price std_non_zero,restaurant_rating mean,menu_item count,number_of_ratings first,fries,cheeseburger,hamburger,combo,specialty_item,state,zip,county_name,date,uber_eats,post_policy,fast_food,local
222,Buffalo Wild Wings,"555 broadway ste 116, chula vista, ca, 91910, us",9.112395833333318,7.54,10.09379262063155,4.3,208,93,5.99,16.29,,,,ca,91910,San Diego,2024-03-25,1,0,0,0
223,Denny,"110 bonita rd., chula vista, ca, 91910, us",10.711980198019807,7.16,6.57138592007036,4.5,131,74,5.81,15.38,,,,ca,91910,San Diego,2024-03-25,1,0,0,0
224,Denny,"692 e st, chula vista, ca, 91910, us",10.568915662650602,6.85,6.776844613874369,4.4,220,47,5.81,15.38,,,,ca,91910,San Diego,2024-03-25,1,0,0,0
225,Buffalo Wild Wings,"555 north spring street, los angeles, ca, 90012, us",8.84052631578948,7.29,9.607098731603685,4.5,104,104,7.29,16.79,,,,ca,90012,Los Angeles,2024-03-25,1,0,0,0
226,Buffalo Wild Wings,"5677 gosford rd, bakersfield, ca, 93313, us",12.25544117647059,12.99,9.141342486332197,4.3,107,32,6.49,15.99,,,,ca,93313,Kern,2024-03-25,1,0,0,0
227,Buffalo Wild Wings,"6910 santa fe avenue, huntington park, ca, 90255, us",6.20016666666668,0.6,10.259934127739598,4.6,65,100,4.79,12.99,,,,ca,90255,Los Angeles,2024-03-25,1,0,0,0
228,Buffalo Wild Wings,"736 e del amo blvd, carson, ca, 90746, us",9.23244897959184,7.640000000000001,10.120436997625497,3.5,105,44,7.29,16.79,,,,ca,90746,Los Angeles,2024-03-25,1,0,0,0
229,Buffalo Wild Wings,"7490, elk grove, ca, 95757, us",8.178659793814418,6.99,9.003432865217942,3.0,212,18,5.99,15.79,,,,ca,95757,Sacramento,2024-03-25,1,0,0,0
230,Buffalo Wild Wings,"7811 edinger avenue, huntington beach, ca, 92647, us",9.39061224489792,7.640000000000001,10.231210036394987,4.4,318,40,7.29,16.79,,,,ca,92647,Orange,2024-03-25,1,0,0,0
231,Buffalo Wild Wings,"795 e betteravia rd, santa maria, ca, 93454, us",8.719693877551029,7.140000000000001,9.813565522970539,4.0,107,18,5.99,15.29,,,,ca,93454,Santa Barbara,2024-03-25,1,0,0,0
232,Applebee,"1415 s bradley, santa maria, ca, 93454, us",13.582156862745096,14.940000000000001,7.48903363323385,4.3,103,16,,16.99,15.39,,,ca,93454,Santa Barbara,2024-03-25,1,0,0,0
233,Denny,"1019 east main st., santa maria, ca, 93454, us",11.501238095238094,8.41,7.177045113579702,4.5,135,19,5.81,17.25,,,,ca,93454,Santa Barbara,2024-03-25,1,0,0,0
234,Buffalo Wild Wings,"859 blossom hill rd, san jose, ca, 95123, us",9.035510204081595,7.640000000000001,10.089640891088267,4.1,321,34,5.99,16.29,,,,ca,95123,Santa Clara,2024-03-25,1,0,0,0
235,Applebee,"5690 cottle rd, san jose, ca, 95123, us",15.163999999999962,17.49,7.416179879156114,4.6,208,14,,18.19,16.89,,,ca,95123,Santa Clara,2024-03-25,1,0,0,0
236,TGI Fridays,"19855 rinaldi st, northridge, ca, 91326, us",23.106353591160214,13.9,26.479939325906745,3.6,186,16,2.79,16.09,,,,ca,91326,Los Angeles,2024-03-25,1,0,0,0
237,TGI Fridays,"2625 e eastland ctr dr, west covina, ca, 91791, us",23.872807017543888,15.97,27.04735522873153,4.2,528,26,2.79,16.09,,,,ca,91791,Los Angeles,2024-03-25,1,0,0,0
238,TGI Fridays,"3518, rosemead, ca, 91770, us",23.88491228070178,15.97,27.038154617304496,4.4,528,10,2.79,16.09,,,,ca,91770,Los Angeles,2024-03-25,1,0,0,0
239,TGI Fridays,"4701 firestone blvd, south gate, ca, 90280, us",23.68484149855912,15.4,26.89359980139275,4.2,714,44,2.79,16.09,,,,ca,90280,Los Angeles,2024-03-25,1,0,0,0
240,TGI Fridays,"6721 la tijera blvd, los angeles, ca, 90045, us",23.88491228070175,15.97,27.038154617304492,4.2,352,45,2.79,16.09,,,,ca,90045,Los Angeles,2024-03-25,1,0,0,0
241,Applebee,"1041 admiral callaghan lane, vallejo, ca, 94591, us",13.55227544910174,14.49,7.6374323738704994,4.2,506,39,,16.69,15.39,,,ca,94591,Solano,2024-03-25,1,0,0,0
242,Applebee,"107 fletcher parkway, el cajon, ca, 92020, us",13.308627450980353,13.79,7.662036927659319,4.2,206,49,,16.99,15.39,,,ca,92020,San Diego,2024-03-25,1,0,0,0
243,Applebee,"10709 foothill blvd, rancho cucamonga, ca, 91730, us",13.230566037735848,13.79,7.5796995298375895,4.8,107,26,,16.99,15.39,,,ca,91730,San Bernardino,2024-03-25,1,0,0,0
244,Applebee,"1105 s. green valley road, watsonville, ca, 95076, us",13.23056603773581,13.79,7.579699529837588,4.5,214,13,,16.99,15.39,,,ca,95076,Santa Cruz,2024-03-25,1,0,0,0
245,Applebee,"1135 veterans blvd, redwood city, ca, 94063, us",15.070198019802021,17.49,7.438753486044194,4.0,945,27,,18.19,16.89,,,ca,94063,San Mateo,2024-03-25,1,0,0,0
246,Denny,"1201 broadway, redwood city, ca, 94063, us",12.638173076923087,11.94,8.60862378043792,3.9000000000000004,134,21,6.33,17.56,,,,ca,94063,San Mateo,2024-03-25,1,0,0,0
247,Applebee,"1216 auto park way, escondido, ca, 92029, us",13.296666666666665,13.79,7.585239634807877,4.8,106,56,,16.99,15.39,,,ca,92029,San Diego,2024-03-25,1,0,0,0
248,Applebee,"1272 e. yosemite ave., manteca, ca, 95336, us",15.120999999999999,17.49,7.458400565804977,4.2,104,13,,18.19,16.89,,,ca,95336,San Joaquin,2024-03-25,1,0,0,0
249,Applebee,"1301 n. davis road, salinas, ca, 93907, us",13.309047619047615,13.79,7.572721662565238,4.5,106,20,,16.99,15.39,,,ca,93907,Monterey,2024-03-25,1,0,0,0
250,Applebee,"1350 travis blvd, fairfield, ca, 94533, us",13.694999999999945,15.84,7.626065499325328,3.7999999999999994,303,19,,16.69,15.39,,,ca,94533,Solano,2024-03-25,1,0,0,0
251,Applebee,"1493 n, montebello, ca, 90640, us",13.34428571428571,13.79,7.5251708232017815,4.8,106,45,,16.99,15.39,,,ca,90640,Los Angeles,2024-03-25,1,0,0,0
252,Denny,"2727 via campo, montebello, ca, 90640, us",10.85461538461539,8.15,6.6075831906455615,4.6,134,69,5.81,15.38,,,,ca,90640,Los Angeles,2024-03-25,1,0,0,0
253,Applebee,"1585 e 6th street, beaumont, ca, 92223, us",15.966923076923065,16.59,9.529672594759678,4.7,214,21,,21.59,20.39,,,ca,92223,Riverside,2024-03-25,1,0,0,0
254,Applebee,"1590 s azusa ave, industry, ca, 91748, us",13.474466019417438,14.49,7.543450284226237,4.8,208,19,,16.99,15.39,,,ca,91748,Los Angeles,2024-03-25,1,0,0,0
255,Applebee,"16867 sierra lakes parkway, fontana, ca, 92336, us",13.26333333333327,13.79,7.60823196615308,3.9,424,41,,16.99,15.39,,,ca,92336,San Bernardino,2024-03-25,1,0,0,0
256,Denny,"13479 baseline ave, fontana, ca, 92336, us",11.558529411764708,9.135,7.103799093644221,4.9,132,15,5.81,17.04,,,,ca,92336,San Bernardino,2024-03-25,1,0,0,0
257,Applebee,"195 soscol ave, napa, ca, 94559, us",13.761568627450906,15.09,7.736194249175533,4.2,515,13,,16.69,15.39,,,ca,94559,Napa,2024-03-25,1,0,0,0
