,restaurant_name,restaurant_location,menu_item_price mean_non_zero,menu_item_price median_non_zero,menu_item_price std_non_zero,restaurant_rating mean,menu_item count,number_of_ratings first,cheeseburger,fries,specialty_item,hamburger,combo,state,zip,county_name,date,uber_eats,post_policy,fast_food,local
0,Burger King,"10055 cedar avenue, bloomington, ca, 92316, us",4.797307692307692,3.79,2.63084303202825,,26,,2.69,3.79,7.99,4.19,,ca,92316,San Bernardino,2024-05-15,0,1,1,0
1,Burger King,"1009 n ben maddox way, visalia, ca, 93292, us",4.171923076923077,3.39,2.2770071775008813,,26,,2.29,3.49,6.59,2.5,,ca,93292,Tulare,2024-05-15,0,1,1,0
2,Burger King,"1030 mclaughlin ave., san jose, ca, 95122, us",4.963478260869564,3.99,2.793812431374254,,23,,2.49,3.49,7.69,3.99,,ca,95122,Santa Clara,2024-05-15,0,1,1,0
3,Burger King,"1042 north carpenter road, modesto, ca, 95351, us",5.001538461538463,4.140000000000001,2.470024435113785,,26,,3.29,4.09,7.49,4.19,,ca,95351,Stanislaus,2024-05-15,0,1,1,0
4,Burger King,"111, colma, ca, 94014, us",4.858846153846153,4.09,2.607185819884782,,26,,2.89,4.59,7.89,4.19,,ca,94014,San Mateo,2024-05-15,0,1,1,0
5,Burger King,"115, lincoln, ca, 95648, us",4.2976,3.79,2.292986314830509,,25,,2.59,3.79,6.99,3.99,,ca,95648,Placer,2024-05-15,0,1,1,0
6,Burger King,"1181 old oakland road, san jose, ca, 95112, us",5.6579999999999995,4.39,2.5971861696844147,,25,,2.99,4.39,8.49,4.69,,ca,95112,Santa Clara,2024-05-15,0,1,1,0
7,Burger King,"2170 monterey road, san jose, ca, 95112, us",4.884814814814814,3.49,2.838713023955241,,27,,2.64,4.69,7.99,4.49,,ca,95112,Santa Clara,2024-05-15,0,1,1,0
8,Burger King,"1201 south, anaheim, ca, 92805, us",5.398333333333331,3.99,2.8865949760150897,,24,,2.99,3.99,7.99,4.99,,ca,92805,Orange,2024-05-15,0,1,1,0
9,Burger King,"12077 palmdale road, victorville, ca, 92392, us",4.797307692307693,3.79,2.6314277459676747,,26,,2.59,3.79,7.99,4.19,,ca,92392,San Bernardino,2024-05-15,0,1,1,0
10,Burger King,"1210 11th ave, san diego, ca, 92101, us",5.0456,4.19,2.7558143333686327,,25,,2.79,4.59,7.99,4.19,,ca,92101,San Diego,2024-05-15,0,1,1,0
11,Burger King,"1220 south 28th street, san diego, ca, 92113, us",4.824615384615385,3.89,2.333854900850704,,26,,3.29,3.89,7.09,3.49,,ca,92113,San Diego,2024-05-15,0,1,1,0
12,Burger King,"1260 anderson drive, suisun city, ca, 94585, us",4.2976,3.79,2.292986314830509,,25,,2.59,3.79,6.99,3.99,,ca,94585,Solano,2024-05-15,0,1,1,0
13,Burger King,"1300 east, roseville, ca, 95661, us",5.040000000000001,4.1899999999999995,2.5032670959859944,,26,,3.29,4.09,7.59,4.29,,ca,95661,Placer,2024-05-15,0,1,1,0
14,Burger King,"1358 madonna road, san luis obispo, ca, 93405, us",4.885769230769229,3.99,2.596503822564434,,26,,2.99,3.99,7.99,4.49,,ca,93405,San Luis Obispo,2024-05-15,0,1,1,0
15,Burger King,"14601 red hill avenue, tustin, ca, 92780, us",4.843846153846152,3.99,2.3117144435762507,,26,,2.99,3.99,6.79,3.99,,ca,92780,Orange,2024-05-15,0,1,1,0
16,Burger King,"15050 e. 14th street, san leandro, ca, 94578, us",4.781923076923078,3.99,2.657025548110822,,26,,2.59,4.59,7.89,3.99,,ca,94578,Alameda,2024-05-15,0,1,1,0
17,Burger King,"1540 north eastern avenue, los angeles, ca, 90063, us",4.797307692307692,3.79,2.63084303202825,,26,,2.69,3.79,7.99,4.19,,ca,90063,Los Angeles,2024-05-15,0,1,1,0
18,Burger King,"1541 east 12th street, oakland, ca, 94606, us",4.794074074074074,3.89,2.4799466231700014,,27,,2.99,3.89,7.49,4.49,,ca,94606,Alameda,2024-05-15,0,1,1,0
19,Burger King,"1571 fitzgerald drive, pinole, ca, 94564, us",8.774,9.39,4.121327941331532,,25,,2.69,7.59,4.19,,,ca,94564,Contra Costa,2024-05-15,0,1,1,0
20,Burger King,"1677 s. centre city parkway, escondido, ca, 92025, us",4.674615384615384,3.69,2.3988286095977864,,26,,2.59,3.59,7.19,4.79,,ca,92025,San Diego,2024-05-15,0,1,1,0
21,Burger King,"1688 north, perris, ca, 92571, us",5.374615384615383,4.09,2.6355107967457303,,26,,3.49,3.89,7.59,6.19,,ca,92571,Riverside,2024-05-15,0,1,1,0
22,Burger King,"1690 valencia street, san francisco, ca, 94110, us",4.9203846153846165,4.09,2.7738760451053808,,26,,2.79,4.59,7.99,4.19,,ca,94110,San Francisco,2024-05-15,0,1,1,0
23,Burger King,"1773 w grand ave, grover beach, ca, 93433, us",4.751538461538458,3.99,3.0373415657417016,,26,,2.49,3.99,6.99,3.89,,ca,93433,San Luis Obispo,2024-05-15,0,1,1,0
24,Burger King,"190 pittman road, suisun city, ca, 94534, us",4.2976,3.79,2.292986314830509,,25,,2.59,3.79,6.99,3.99,,ca,94534,Solano,2024-05-15,0,1,1,0
25,Burger King,"200 north harbor boulevard, santa ana, ca, 92703, us",4.905384615384613,3.99,2.3830640114861024,,26,,2.99,3.99,6.79,4.49,,ca,92703,Orange,2024-05-15,0,1,1,0
26,Burger King,"2005 huntington drive, fairfield, ca, 94533, us",4.651923076923077,3.89,2.4168352148256407,,26,,2.99,3.89,7.49,4.49,,ca,94533,Solano,2024-05-15,0,1,1,0
27,Burger King,"2008 glenoaks boulevard, san fernando, ca, 91340, us",5.424615384615382,4.09,2.689858776346147,,26,,3.49,3.89,7.79,6.39,,ca,91340,Los Angeles,2024-05-15,0,1,1,0
28,Burger King,"2020 west florida avenue, hemet, ca, 92545, us",4.789615384615384,3.79,2.6374236857632205,,26,,2.69,3.79,7.99,4.39,,ca,92545,Riverside,2024-05-15,0,1,1,0
29,Burger King,"2100 east 17th street, santa ana, ca, 92701, us",4.839615384615384,3.89,2.6210838638436913,,26,,2.59,3.89,7.99,4.49,,ca,92701,Orange,2024-05-15,0,1,1,0
30,Burger King,"701 north main street, santa ana, ca, 92701, us",4.889999999999997,3.99,2.356986341790001,,26,,2.99,3.99,6.79,4.49,,ca,92701,Orange,2024-05-15,0,1,1,0
31,Burger King,"2167 university avenue, riverside, ca, 92507, us",4.797307692307692,3.79,2.63084303202825,,26,,2.69,3.79,7.99,4.19,,ca,92507,Riverside,2024-05-15,0,1,1,0
32,Burger King,"2210 e lincoln ave, anaheim, ca, 92806, us",4.8519230769230735,3.99,2.340976159361351,,26,,2.99,3.99,6.69,4.39,,ca,92806,Orange,2024-05-15,0,1,1,0
33,Burger King,"23125 hemlock avenue, moreno valley, ca, 92557, us",5.548076923076923,3.99,3.270688023631877,,26,,2.99,3.99,8.99,6.49,,ca,92557,Riverside,2024-05-15,0,1,1,0
34,Burger King,"2320 mchenry ave, modesto, ca, 95350, us",5.001538461538463,4.140000000000001,2.470024435113785,,26,,3.29,4.09,7.49,4.19,,ca,95350,Stanislaus,2024-05-15,0,1,1,0
35,Burger King,"2390 almaden road, san jose, ca, 95125, us",5.4173076923076895,4.84,2.77698447087471,,26,,2.99,4.49,8.49,5.49,,ca,95125,Santa Clara,2024-05-15,0,1,1,0
36,Burger King,"2403 east chapman avenue, fullerton, ca, 92831, us",4.839615384615384,3.89,2.6210838638436913,,26,,2.59,3.89,7.99,4.49,,ca,92831,Orange,2024-05-15,0,1,1,0
37,Burger King,"2410 north cedar, fresno, ca, 93703, us",4.351153846153846,3.49,2.393813062110607,,26,,2.49,3.49,7.19,3.89,,ca,93703,Fresno,2024-05-15,0,1,1,0
38,Burger King,"245 bayshore blvd., san francisco, ca, 94124, us",4.789999999999999,3.79,2.3892386943253574,,26,,3.09,3.39,7.29,4.29,,ca,94124,San Francisco,2024-05-15,0,1,1,0
39,Burger King,"24800 sunnymead blvd, moreno valley, ca, 92553, us",5.374615384615383,4.09,2.6355107967457303,,26,,3.49,3.89,7.59,6.19,,ca,92553,Riverside,2024-05-15,0,1,1,0
40,Burger King,"2500 s. ventura road, oxnard, ca, 93033, us",4.862692307692307,3.99,2.6259702348953256,,26,,2.69,3.99,7.99,4.59,,ca,93033,Ventura,2024-05-15,0,1,1,0
41,Burger King,"2508 white lane, bakersfield, ca, 93304, us",8.234,8.99,3.8204795510511502,,25,,2.59,6.79,3.99,,,ca,93304,Kern,2024-05-15,0,1,1,0
42,Burger King,"2542 guerneville road, santa rosa, ca, 95401, us",4.571851851851851,3.79,2.3615704709288763,,27,,3.29,3.79,7.29,4.09,,ca,95401,Sonoma,2024-05-15,0,1,1,0
43,Burger King,"2600, long beach, ca, 90806, us",4.862692307692307,3.99,2.6259702348953256,,26,,2.69,3.99,7.99,4.59,,ca,90806,Los Angeles,2024-05-15,0,1,1,0
44,Burger King,"26251 hesperian boulevard, hayward, ca, 94545, us",4.781923076923078,3.99,2.657025548110822,,26,,2.59,4.59,7.89,3.99,,ca,94545,Alameda,2024-05-15,0,1,1,0
45,Burger King,"2751 w. orangethorpe blvd, fullerton, ca, 92833, us",4.797307692307692,3.79,2.63084303202825,,26,,2.69,3.79,7.99,4.19,,ca,92833,Orange,2024-05-15,0,1,1,0
46,Burger King,"2757, castro valley, ca, 94546, us",5.294230769230769,3.99,2.9308940262144256,,26,,2.99,3.99,8.09,6.09,,ca,94546,Alameda,2024-05-15,0,1,1,0
47,Burger King,"2850 south bristol street, santa ana, ca, 92704, us",4.862692307692307,3.99,2.6259702348953256,,26,,2.69,3.99,7.99,4.59,,ca,92704,Orange,2024-05-15,0,1,1,0
48,Burger King,"2955 north bellflower boulevard, long beach, ca, 90815, us",4.839615384615384,3.89,2.6210838638436913,,26,,2.59,3.89,7.99,4.49,,ca,90815,Los Angeles,2024-05-15,0,1,1,0
49,Burger King,"29671 mission blvd., hayward, ca, 94544, us",5.737599999999999,4.98,2.9333765936203964,,25,,2.99,4.19,7.99,4.59,,ca,94544,Alameda,2024-05-15,0,1,1,0
50,Burger King,"31361 alavarado niles road, union city, ca, 94587, us",4.781923076923078,3.99,2.657025548110822,,26,,2.59,4.59,7.89,3.99,,ca,94587,Alameda,2024-05-15,0,1,1,0
51,Burger King,"329 north capital avenue, san jose, ca, 95133, us",5.756666666666667,4.54,2.6044299866872125,,24,,2.99,4.39,8.49,4.69,,ca,95133,Santa Clara,2024-05-15,0,1,1,0
52,Burger King,"3399 port chicago hwy, concord, ca, 94520, us",5.001538461538463,4.140000000000001,2.470024435113785,,26,,3.29,4.09,7.49,4.19,,ca,94520,Contra Costa,2024-05-15,0,1,1,0
53,Burger King,"3405 union ave, bakersfield, ca, 93305, us",4.297307692307692,3.69,2.322173315092016,,26,,2.39,3.69,6.59,3.89,,ca,93305,Kern,2024-05-15,0,1,1,0
54,Burger King,"3606 sonoma boulevard, vallejo, ca, 94590, us",5.146,3.99,2.6960830847731674,,25,,3.19,3.79,7.69,4.29,,ca,94590,Solano,2024-05-15,0,1,1,0
55,Burger King,"3676 market street, san diego, ca, 92102, us",4.824615384615385,3.89,2.333854900850704,,26,,3.29,3.89,7.09,3.49,,ca,92102,San Diego,2024-05-15,0,1,1,0
56,Burger King,"385 south kiely, san jose, ca, 95129, us",4.843461538461539,4.19,2.6204945838343807,,26,,2.79,4.59,7.89,4.19,,ca,95129,Santa Clara,2024-05-15,0,1,1,0
57,Burger King,"3900 geary boulevard, san francisco, ca, 94118, us",5.0456,4.19,2.7558143333686327,,25,,2.79,4.59,7.99,4.19,,ca,94118,San Francisco,2024-05-15,0,1,1,0
58,Burger King,"3996 washington boulevard, fremont, ca, 94538, us",5.453333333333334,3.99,3.2457025718918215,,27,,2.99,3.99,8.99,6.49,,ca,94538,Alameda,2024-05-15,0,1,1,0
59,Burger King,"4200 east 14th street, oakland, ca, 94601, us",4.781923076923078,3.99,2.657025548110822,,26,,2.59,4.59,7.89,3.99,,ca,94601,Alameda,2024-05-15,0,1,1,0
60,Burger King,"4320 clayton road, concord, ca, 94521, us",5.001538461538463,4.140000000000001,2.470024435113785,,26,,3.29,4.09,7.49,4.19,,ca,94521,Contra Costa,2024-05-15,0,1,1,0
61,Burger King,"4610 east king's canyon rd., fresno, ca, 93702, us",4.351153846153846,3.49,2.393813062110607,,26,,2.49,3.49,7.19,3.89,,ca,93702,Fresno,2024-05-15,0,1,1,0
62,Burger King,"46700 mission boulevard, fremont, ca, 94539, us",5.548076923076923,3.99,3.270688023631877,,26,,2.99,3.99,8.99,6.49,,ca,94539,Alameda,2024-05-15,0,1,1,0
63,Burger King,"487 west highland, san bernardino, ca, 92405, us",4.797307692307693,3.79,2.6314277459676747,,26,,2.59,3.79,7.99,4.19,,ca,92405,San Bernardino,2024-05-15,0,1,1,0
64,Burger King,"4960 auburn blvd., sacramento, ca, 95841, us",4.2976,3.79,2.292986314830509,,25,,2.59,3.79,6.99,3.99,,ca,95841,Sacramento,2024-05-15,0,1,1,0
65,Burger King,"5020 redwood drive, rohnert park, ca, 94928, us",4.593461538461539,3.79,2.611967932285912,,26,,2.59,3.79,7.59,3.99,,ca,94928,Sonoma,2024-05-15,0,1,1,0
66,Burger King,"6125 commerce boulevard, rohnert park, ca, 94928, us",4.593461538461539,3.79,2.611967932285912,,26,,2.59,3.79,7.59,3.99,,ca,94928,Sonoma,2024-05-15,0,1,1,0
67,Burger King,"510 south euclid street, anaheim, ca, 92802, us",5.57076923076923,4.19,2.728343993477648,,26,,3.29,4.09,7.99,6.59,,ca,92802,Orange,2024-05-15,0,1,1,0
68,Burger King,"5121 foothills boulevard, roseville, ca, 95747, us",4.2976,3.79,2.292986314830509,,25,,2.59,3.79,6.99,3.99,,ca,95747,Placer,2024-05-15,0,1,1,0
69,Burger King,"5540 cherry avenue, long beach, ca, 90805, us",4.78296296296296,3.99,2.3309731155238413,,27,,2.99,3.99,6.59,4.49,,ca,90805,Los Angeles,2024-05-15,0,1,1,0
70,Burger King,"56 mission circle, santa rosa, ca, 95409, us",4.571851851851851,3.79,2.3615704709288763,,27,,3.29,3.79,7.29,4.09,,ca,95409,Sonoma,2024-05-15,0,1,1,0
71,Burger King,"5610 freeport boulevard, sacramento, ca, 95822, us",4.439615384615385,3.79,2.3579170742403304,,26,,2.59,3.79,6.99,3.99,,ca,95822,Sacramento,2024-05-15,0,1,1,0
