,restaurant_name,restaurant_location,menu_item_price mean_non_zero,menu_item_price median_non_zero,menu_item_price std_non_zero,restaurant_rating mean,menu_item count,number_of_ratings first,specialty_item,combo,cheeseburger,hamburger,fries,state,zip,county_name,date,uber_eats,post_policy,fast_food,local
111,Shake Shack,"2008 india st., san diego, ca, 92101, us",21.805999999999997,7.59,36.1427633697259,4.8,102,8,9.39,,8.99,8.79,5.49,ca,92101,San Diego,2024-05-14,1,1,1,0
112,Burger King,"1210 11th ave, san diego, ca, 92101, us",9.062800000000001,8.49,6.253658248843899,4.6,75,1,9.29,15.29,4.19,4.59,5.09,ca,92101,San Diego,2024-05-14,1,1,1,0
113,McDonald,"1299 e santa clara st, san jose, ca, 95116, us",5.749264705882363,4.19,4.225957015237696,4.4,151,2,6.69,10.79,3.59,3.19,4.99,ca,95116,Santa Clara,2024-05-14,1,1,1,0
114,McDonald,"1310 east olympic blvd, los angeles, ca, 90021, us",6.6696638655462195,5.07,4.604798909426702,4.6,143,4,7.69,11.89,4.86,2.89,4.79,ca,90021,Los Angeles,2024-05-14,1,1,1,0
115,McDonald,"690 alameda st., los angeles, ca, 90021, us",6.70254237288136,4.825,4.627086279144273,4.5,143,5,7.79,12.29,4.86,2.89,4.79,ca,90021,Los Angeles,2024-05-14,1,1,1,0
116,Jack in the Box,"1415 south alameda street, los angeles, ca, 90021, us",8.132302631578952,7.300000000000001,3.8559261414625317,4.5,152,1,6.61,12.35,3.74,3.36,4.99,ca,90021,Los Angeles,2024-05-14,1,1,1,0
117,McDonald,"1324 e hatch rd, ceres, ca, 95351, us",8.1085,5.29,8.064418845857935,4.2,157,260+,7.59,12.59,4.59,3.59,5.59,ca,95351,Stanislaus,2024-05-14,1,1,1,0
118,McDonald,"409 paradise road, modesto, ca, 95351, us",8.494932432432439,5.39,9.023771796087663,4.5,163,340+,8.29,13.69,4.49,4.19,5.69,ca,95351,Stanislaus,2024-05-14,1,1,1,0
119,Jack in the Box,"339 paradise avenue, modesto, ca, 95351, us",8.886129032258063,8.11,4.3037426153848575,4.3,155,230+,7.49,14.6,4.11,3.74,4.99,ca,95351,Stanislaus,2024-05-14,1,1,1,0
120,Jack in the Box,"801 kansas ave., modesto, ca, 95351, us",8.900794701986753,8.11,4.358693759485578,4.4,151,99,7.49,14.6,4.11,3.74,4.99,ca,95351,Stanislaus,2024-05-14,1,1,1,0
121,Wendy,"1374 e. hatch rd., modesto, ca, 95351, us",6.8278,5.36,3.4435843477400114,4.5,85,250+,9.14,0.0,3.65,3.16,0.0,ca,95351,Stanislaus,2024-05-14,1,1,1,0
122,Wendy,"1617 north carpenter road, modesto, ca, 95351, us",6.8278,5.36,3.4435843477400114,4.1,85,110+,9.14,0.0,3.65,3.16,0.0,ca,95351,Stanislaus,2024-05-14,1,1,1,0
123,Burger King,"1042 north carpenter road, modesto, ca, 95351, us",9.727777777777787,8.09,6.5335940991044,4.4,81,100+,10.09,17.79,4.29,5.69,5.49,ca,95351,Stanislaus,2024-05-14,1,1,1,0
124,McDonald,"1330 jackson st, oakland, ca, 94612, us",7.193709677419358,5.135,5.3924185829530416,4.5,150,2,6.89,12.79,3.49,2.99,4.79,ca,94612,Alameda,2024-05-14,1,1,1,0
125,Shake Shack,"1954 telegraph avenue, oakland, ca, 94612, us",23.05530612244898,8.19,37.7390100289808,4.6,50,5,9.59,,9.39,8.99,5.49,ca,94612,Alameda,2024-05-14,1,1,1,0
126,McDonald,"13370 lincoln way, auburn, ca, 95603, us",6.0566153846153865,4.99,3.956396097819355,4.4,149,56,7.79,12.99,3.49,3.39,5.39,ca,95603,Placer,2024-05-14,1,1,1,0
127,McDonald,"2865 bell rd, auburn, ca, 95603, us",6.813863636363639,4.99,5.384586538772141,3.5,151,49,7.79,12.99,3.39,3.29,5.79,ca,95603,Placer,2024-05-14,1,1,1,0
128,Jack in the Box,"13421 east lincoln way, auburn, ca, 95603, us",8.210774647887328,7.74,3.9835777453743475,3.8999999999999995,142,80,6.86,13.35,3.74,3.36,4.99,ca,95603,Placer,2024-05-14,1,1,1,0
129,Burger King,"2905 bell rd, auburn, ca, 95603, us",8.307777777777781,7.045,6.015955918828193,3.5999999999999996,72,48,9.68,17.22,3.72,5.09,4.42,ca,95603,Placer,2024-05-14,1,1,1,0
130,McDonald,"1365 n main st, salinas, ca, 93906, us",5.575599999999999,3.99,4.183201338687871,4.4,144,800+,6.79,11.19,3.49,3.39,4.79,ca,93906,Monterey,2024-05-14,1,1,1,0
131,McDonald,"600 east boranda drive, salinas, ca, 93906, us",6.115000000000003,4.215,4.78864104569513,4.6,142,500+,6.99,10.95,3.85,3.17,4.89,ca,93906,Monterey,2024-05-14,1,1,1,0
132,Jack in the Box,"1810 n main st., salinas, ca, 93906, us",8.54539473684211,7.615,4.1638521008637,4.4,152,290+,7.24,13.85,4.11,3.99,4.99,ca,93906,Monterey,2024-05-14,1,1,1,0
133,Wendy,"1339 north main, salinas, ca, 93906, us",6.755,5.36,3.223451100916532,4.7,83,500+,9.26,0.0,3.77,3.4,0.0,ca,93906,Monterey,2024-05-14,1,1,1,0
134,The Habit,"1602 north main st, salinas, ca, 93906, us",11.816153846153853,8.99,10.926634505526259,4.6,78,410+,9.74,18.24,8.61,7.49,4.74,ca,93906,Monterey,2024-05-14,1,1,1,0
