menu_item,menu_item_price,menu_item_calories,restaurant_address
Big Cheeseburger,4.29,540,"1039 W University Ave, Georgetown, TX, 78628, US"
Big Angus El Diablo Combo,3.19,270,"925 w Antelope Drive, Layton, UT, 84041, US"
Double Take – Pick Two w/Free Drink,5.99,670,"925 w Antelope Drive, Layton, UT, 84041, US"
Double Famous Star®,6.99,920,"925 w Antelope Drive, Layton, UT, 84041, US"
Big Angus Famous Star®,7.49,830,"925 w Antelope Drive, Layton, UT, 84041, US"
Single Western Bacon Cheeseburger®,5.99,760,"925 w Antelope Drive, Layton, UT, 84041, US"
Double Western Bacon Cheeseburger®,6.99,1020,"925 w Antelope Drive, Layton, UT, 84041, US"
Big Angus Western Bacon Cheeseburger®,7.49,880,"925 w Antelope Drive, Layton, UT, 84041, US"
Single Big Carl®,5.99,670,"925 w Antelope Drive, Layton, UT, 84041, US"
Double Big Carl®,6.99,920,"925 w Antelope Drive, Layton, UT, 84041, US"
Big Angus Big Carl®,7.49,770,"925 w Antelope Drive, Layton, UT, 84041, US"
Single Guacamole Bacon Burger,6.79,870,"925 w Antelope Drive, Layton, UT, 84041, US"
Double Guacamole Bacon Burger,7.79,1130,"925 w Antelope Drive, Layton, UT, 84041, US"
Big Angus Guacamole Bacon Burger,7.99,960,"925 w Antelope Drive, Layton, UT, 84041, US"
Single El Diablo,6.99,950,"925 w Antelope Drive, Layton, UT, 84041, US"
Double El Diablo,7.99,1210,"925 w Antelope Drive, Layton, UT, 84041, US"
Big Angus El Diablo,8.99,1050,"925 w Antelope Drive, Layton, UT, 84041, US"
California Classic Double Cheeseburger,3.99,560,"925 w Antelope Drive, Layton, UT, 84041, US"
Big Cheeseburger,3.99,540,"925 w Antelope Drive, Layton, UT, 84041, US"
Big Angus El Diablo Combo,3.19,270,"2118 W 1700 S SYRACUSE, UT 84075, US"
Double Take – Pick Two w/Free Drink,5.99,670,"2118 W 1700 S SYRACUSE, UT 84075, US"
Double Famous Star®,6.99,920,"2118 W 1700 S SYRACUSE, UT 84075, US"
Big Angus Famous Star®,7.49,830,"2118 W 1700 S SYRACUSE, UT 84075, US"
Single Western Bacon Cheeseburger®,5.99,760,"2118 W 1700 S SYRACUSE, UT 84075, US"
Double Western Bacon Cheeseburger®,6.99,1020,"2118 W 1700 S SYRACUSE, UT 84075, US"
Big Angus Western Bacon Cheeseburger®,7.49,880,"2118 W 1700 S SYRACUSE, UT 84075, US"
Single Big Carl®,5.99,670,"2118 W 1700 S SYRACUSE, UT 84075, US"
Double Big Carl®,6.99,920,"2118 W 1700 S SYRACUSE, UT 84075, US"
Big Angus Big Carl®,7.49,770,"2118 W 1700 S SYRACUSE, UT 84075, US"
Single Guacamole Bacon Burger,6.79,870,"2118 W 1700 S SYRACUSE, UT 84075, US"
Double Guacamole Bacon Burger,7.79,1130,"2118 W 1700 S SYRACUSE, UT 84075, US"
Big Angus Guacamole Bacon Burger,7.99,960,"2118 W 1700 S SYRACUSE, UT 84075, US"
Single El Diablo,6.99,950,"2118 W 1700 S SYRACUSE, UT 84075, US"
Double El Diablo,7.99,1210,"2118 W 1700 S SYRACUSE, UT 84075, US"
Big Angus El Diablo,8.99,1050,"2118 W 1700 S SYRACUSE, UT 84075, US"
California Classic Double Cheeseburger,3.99,560,"2118 W 1700 S SYRACUSE, UT 84075, US"
Big Cheeseburger,3.99,540,"2118 W 1700 S SYRACUSE, UT 84075, US"
Big Angus El Diablo Combo,3.19,270,"582 N MAIN STREET CLEARFIELD, UT 84015, US"
Double Take – Pick Two w/Free Drink,5.99,670,"582 N MAIN STREET CLEARFIELD, UT 84015, US"
