,restaurant_name,restaurant_location,menu_item_price mean_non_zero,menu_item_price median_non_zero,menu_item_price std_non_zero,restaurant_rating mean,menu_item count,number_of_ratings first,specialty_item,combo,cheeseburger,hamburger,fries,state,zip,county_name,date,uber_eats,post_policy,fast_food,local
346,McDonald,"801 vantage way ct, nashville, tn, 37228, us",4.602796610169499,3.79,3.083205982110847,4.2,132,100+,6.29,10.29,2.49,2.29,3.49,tn,37228,Davidson,2024-03-29,1,0,1,0
347,Wendy,"802 vantage way court, nashville, tn, 37228, us",4.805517241379311,4.34,2.7249676824491678,4.0,99,100+,5.89,0.0,1.99,1.59,0.0,tn,37228,Davidson,2024-03-29,1,0,1,0
348,McDonald,"8105 e admiral pl, tulsa, ok, 74115, us",4.678636363636359,3.69,3.534667652442466,3.8,126,50+,5.79,9.19,2.69,2.19,2.99,ok,74115,Tulsa,2024-03-29,1,0,1,0
349,Wendy,"7221 e. admiral, tulsa, ok, 74115, us",5.8931578947368415,4.87,2.981084906654503,0.0,95,3,6.94,0.0,2.79,2.43,0.0,ok,74115,Tulsa,2024-03-29,1,0,1,0
350,McDonald,"8305 creedmoor rd, raleigh, nc, 27613, us",5.515500000000009,4.69,5.213736824301442,4.4,294,94,6.29,10.69,2.89,2.49,4.19,nc,27613,Wake,2024-03-29,1,0,1,0
351,McDonald,"905 union ave, memphis, tn, 38103-3513, us",6.056923076923082,5.19,5.048377324395182,3.4,140,100+,6.79,11.99,3.69,3.29,4.49,tn,38103,Shelby,2024-03-29,1,0,1,0
352,Wendy,"315 washington street, memphis, tn, 38103, us",6.339310344827588,5.72,3.2113504851026224,3.6,96,81,6.58,0.0,3.28,2.79,0.0,tn,38103,Shelby,2024-03-29,1,0,1,0
353,McDonald,"927 e main st, new iberia, la, 70560, us",4.451935483870972,3.54,2.897780206445948,4.5,137,11,5.49,9.89,2.29,1.99,2.89,la,70560,Iberia,2024-03-29,1,0,1,0
354,McDonald,"927 s high st, west chester, pa, 19382, us",5.713481481481479,3.61,4.993502195411848,4.3,149,35,6.49,11.69,2.89,2.39,3.83,pa,19382,Chester,2024-03-29,1,0,1,0
355,Burger King,"1502, west chester, pa, 19382, us",8.441410256410265,7.29,5.730330398215736,4.2,78,16,8.09,13.19,2.99,5.39,4.09,pa,19382,Chester,2024-03-29,1,0,1,0
356,McDonald,"945 tournament trail, westfield, in, 46074, us",5.259741379310346,4.49,3.544492926432373,4.6,130,40,6.69,11.19,3.09,2.69,3.99,in,46074,Hamilton,2024-03-29,1,0,1,0
357,Sonic,"188 east spring mill pointe drive, westfield, in, 46074, us",4.39388888888889,3.95,1.9867411588072477,4.3,86,28,8.28,0.0,4.75,,0.0,in,46074,Hamilton,2024-03-29,1,0,1,0
358,McDonald,"9725 callabridge ct, charlotte, nc, 28216, us",6.131969696969705,4.19,5.333293859616317,4.6,151,78,6.49,12.89,2.99,2.59,3.79,nc,28216,Mecklenburg,2024-03-29,1,0,1,0
359,Jack in the Box,"220 n hoskins rd, charlotte, nc, 28216, us",7.019787234042562,6.24,3.5530311638352594,3.7,141,87,5.86,11.23,3.74,3.49,4.11,nc,28216,Mecklenburg,2024-03-29,1,0,1,0
360,Wendy,"9905 northlake centre pkwy, charlotte, nc, 28216, us",5.075192307692306,4.38,2.6756433377246043,4.5,87,24,6.45,0.0,2.43,2.06,0.0,nc,28216,Mecklenburg,2024-03-29,1,0,1,0
361,Jack in the Box,"1000 east 41st street unit k, austin, tx, 78751, us",8.487656250000004,7.86,4.270909498495131,4.4,128,95,6.11,12.35,4.11,3.74,5.36,tx,78751,Travis,2024-03-29,1,0,1,0
362,Jack in the Box,"10004 telephone rd, houston, tx, 77075, us",7.044191176470573,6.29,3.466708804332978,4.5,136,22,6.29,10.81,3.39,3.01,4.52,tx,77075,Harris,2024-03-29,1,0,1,0
363,Jack in the Box,"8497 s sam, houston, tx, 77075, us",7.0122463768115795,6.29,3.455974247194194,4.6,138,16,6.29,10.81,3.39,3.01,4.52,tx,77075,Harris,2024-03-29,1,0,1,0
364,Sonic,"11390 monroe blvd, houston, tx, 77075, us",4.433333333333333,3.95,1.9285486771144775,0.0,86,7,8.77,0.0,4.01,,0.0,tx,77075,Harris,2024-03-29,1,0,1,0
365,Jack in the Box,"1001 leander rd, georgetown, tx, 78628, us",8.514772727272732,7.86,4.160834245077997,4.5,132,69,6.11,12.35,4.11,3.74,5.36,tx,78628,Williamson,2024-03-29,1,0,1,0
366,Carls Jr,"1039 w university ave, georgetown, tx, 78628, us",5.8999999999999995,5.375,2.51625075402728,4.9,96,31,,,4.55,5.15,3.5,tx,78628,Williamson,2024-03-29,1,0,1,0
